TXNAME	R1_H1975	R2_H1975	R3_H1975	R1_HCC827	R2_HCC827	R3_HCC827
ENST00000634374	0.60551	0	0	1.7105	0.28984	0
ENST00000634403	0	0	0	0	0	0.86453
ENST00000634471	0	1	0	0	0	0
ENST00000634473	0	0	0	0	1	1
ENST00000634501	3	1	0	0	1	6
ENST00000634503	20	16	15	5	2	2
ENST00000634509	1	1	1	0	0	0
ENST00000634537	0	0	0	1	0	0
ENST00000634549	0	0	2	0	0	0
ENST00000634560	397.6445	364.4135	414.9298	47	0	48.46622
ENST00000634582	2	0	1	1	0	0
ENST00000634587	0	0	4	0	0	0
ENST00000634596	0	0	0	6.34406	5.06461	3.79117
ENST00000634597	0	0	1	1	0	0
ENST00000634600	38	29	32	9	10	12
ENST00000634607	0	4	2.68905	0	0.9977	1.99635
ENST00000634613	8	11	6	1	2	2
ENST00000634630	2	2	4	0	0	0
ENST00000634640	5	10	5	0	0	1
ENST00000634641	0	0	2	0	0	0
ENST00000634645	0	1	0	0	0	0
ENST00000634654	10	6	5	2	1	3
ENST00000634665	2	1	1	1	1	0
ENST00000634675	3	1	0	1	2	1
ENST00000634676	7	5	9	5	2	6
ENST00000634706	0	0	1	0	0	0
ENST00000634712	6	12	9	4	3	2
ENST00000634733	34	21	29	3	4	9
ENST00000634734	76.27663	77.21741	36.06707	108.37007	52.24215	270.58166
ENST00000634744	1	2	0	1	0	2
ENST00000634759	58	36	36	0	0	0
ENST00000634762	7	6	1	2	0	0
ENST00000634763	2	17	5	3	3	2
ENST00000634778	0	3.74936	0	0	0	0
ENST00000634784	0	0	0	0	2	0
ENST00000634838	0	0	0	0	2	1
ENST00000634877	9.92301	10	17	4	0	0
ENST00000634899	0	0	0	1	1	0
ENST00000634934	0	1	0	2	0	0
ENST00000634966	0	0	0	0.86668	0	0
ENST00000634994	1	3	0	1	1	2
ENST00000635000	0	0	1	2	2	1
ENST00000635003	0	0	1	0	0	0
ENST00000635031	129.70108	118.58681	93.76855	42.70891	32.74209	18.27387
ENST00000635042	1	0	0	0	0	0
ENST00000635044	0	1	0	0	0	0
ENST00000635060	8	8	11	0	0	3
ENST00000635064	16	33	36	3	0	1
ENST00000635104	6	2	7	0	0	0
ENST00000635124	2	2	2	0	0	0
ENST00000635145	0	0	0	1	0	0
ENST00000635152	0.88231	0	0.81938	1.88526	0.93039	1.74392
ENST00000635159	0	0	0	12	11	12
ENST00000635162	0	0	1	6.82833	7	8
ENST00000635175	1	1	0	1	0	0
ENST00000635194	0	0	0	1	0	0
ENST00000635197	0	0	0	0	0	0.01008
ENST00000635200	50.99053	23.02553	0	14.8384	19.59275	16.343
ENST00000635220	0	0	1	528	247	303
ENST00000635221	1	0	1	0	0	0
ENST00000635234	4	3	3	0	1	0
ENST00000635248	0	1	0	0	0	0
ENST00000635251	5.14967	9	3.444	7.12633	3.1891	1.27759
ENST00000635298	0	0	0	2	1	0
ENST00000635301	20	13	21	0	0	0
ENST00000635323	15	14	16	8	8	11
ENST00000635339	0	0	0	0	0.71674	0
ENST00000635348	1.2625	9.21075	12.23888	12.40191	6.83944	1.92999
ENST00000635352	3	6	4	17	15	4
ENST00000635357	4.9149	5.96735	5.71291	0	0	2
ENST00000635370	0	1	0	0	0	0
ENST00000635373	0	0	0	0	1	0
ENST00000635435	20	16	13	4	3	8
ENST00000635449	5	4	0	2	2	3
ENST00000635450	0	0	0	2	0	0
ENST00000635451	1	0	0	1.94318	0	2.63765
ENST00000635452	14	11	14	16	16	9
ENST00000635460	2	0	1	0	0	0
ENST00000635481	0	1	0	1	0	0
ENST00000635489	2	1	3	0	0	0
ENST00000635492	1	0	2	0	0	0
ENST00000635529	0	0	1	0	1	0
ENST00000635536	0.45569	0	0.23961	21	11	24
ENST00000635579	5	5	10	0	1	2
ENST00000635581	2	0	0	2	0	3
ENST00000635589	4	2	2	0	0	0
ENST00000635598	5	6	4	0	1	1
ENST00000635606	315	228	201	111	74	82
ENST00000635628	1	0	0	0	0	0
ENST00000635637	12	19	9	7	2	5
ENST00000635641	9	6	3	0	1	1
ENST00000635660	3	2	4	0	0	0
ENST00000635674	1	0	0	0	0	0
ENST00000635685	0	0.5	0	0	0	0
ENST00000635687	0	0	0	1	0	0
ENST00000635699	12	14	4	2	0	4
ENST00000635729	4	4	3	3	0	2
ENST00000635734	0.55428	0.65351	1.89773	0	0	0
ENST00000635747	2	4	2	0	0	0
ENST00000635751	2	0	0	1	2	0
ENST00000635761	0	0	0	1	0	0
ENST00000635781	0	1	0	1	0	0
ENST00000635815	1	0	0	4	6	4
ENST00000635847	14	22	19	3	11	8
ENST00000635852	0	1	0	2	0	3
ENST00000635906	5	8	9	2	1	3
ENST00000635915	1	0	0	0	0	0
ENST00000635928	5	1	7	0	1	0
ENST00000635932	1	2	1	0	0	0
ENST00000635944	0.58239	1.49603	0	0.1755	1	0
ENST00000635950	0	0	0	0	0	1
ENST00000635960	0	0	0	7	2	4
ENST00000635968	1	1	1	1	0	5
ENST00000635970	3	1	0	0	0	0
ENST00000635971	0	0	0	1	0	0
ENST00000635989	0	1	3	0	0	1
ENST00000635998	0	1	0	0	0	0
ENST00000636007	0	0	0	1	0	0
ENST00000636033	0	3e-05	0	6e-05	0	0
ENST00000636050	0	1	2	0	1	0
ENST00000636068	0	0.09659	0	0	0	0
ENST00000636087	0	0	1	0	0	0
ENST00000636106	0	1	0	0	0	0
ENST00000636119	1.90292	1.63095	0	1.87496	0	0
ENST00000636145	0	0	1	0	0	0
ENST00000636147	317.0432	0	245.02522	330.97226	173.6883	383.51614
ENST00000636154	0	0	0.00382	0	0	0
ENST00000636160	0	0	0	1	0	1
ENST00000636161	6	6	6	5	3	3
ENST00000636166	1	0	0	0	0	0
ENST00000636169	2	0	0	0	0	0
ENST00000636172	4	4	1	0	0	4
ENST00000636183	78.5	84.5	78	26.5	26.5	33
ENST00000636196	4	7	1	1	0	0
ENST00000636204	0	0	0	0.62144	0	0
ENST00000636212	0	1	1	0	0	1
ENST00000636215	1	1	2	0	1	0
ENST00000636219	0.99521	0	0	0	0	1
ENST00000636223	1	0	0	0	0	0
ENST00000636227	0	0.01151	0	0	0	0
ENST00000636228	0	0	0	1	0	0
ENST00000636231	0	1	0	0	0	0
ENST00000636239	2	0	0	0	0	0
ENST00000636248	0	0	1	0	0	0
ENST00000636251	1.7925	0.28596	1.32149	0	0	0
ENST00000636254	0	2	0.71476	0	0.00024	0.62338
ENST00000636269	0.70215	3.65944	2.84677	0	3	0
ENST00000636273	1	0	0	0	0	0
ENST00000636283	0	0	0	0	1	0
ENST00000636293	13	4	4.99999	0	2	2.99995
ENST00000636313	1	2	4	0	0	0
ENST00000636316	0	2	1	0	0	0
ENST00000636374	1.8263	0	0	0	0	0
ENST00000636376	0	0	1	0	0	0
ENST00000636379	1	4	0	1	0	0
ENST00000636405	0	0	2	0	0	0
ENST00000636409	0	2	0	9	0	17
ENST00000636430	0	1	0	0	0	0
ENST00000636435	2e-05	259	1.4481	3.87093	1.88157	0.75198
ENST00000636482	0	0	1	0	0	0
ENST00000636494	1	2	3	4	0	7
ENST00000636500	102	105	75	46	35	49
ENST00000636513	0	0	0	1	0	0
ENST00000636516	3	1	4	0	0	0
ENST00000636520	0	1	6.83788	0	0	0.8374
ENST00000636531	446	394	386	919	507	689
ENST00000636537	5.51926	10	23	12	8.99999	9
ENST00000636559	0.00374	8	0.56258	1.65539	0	0.95678
ENST00000636560	350	338	311	624	362	452
ENST00000636571	11	8	5	2	1	10
ENST00000636574	0.80741	2.21557	1.92965	4.04252	0	1.16015
ENST00000636580	1428.55688	1451.49893	1482.82006	367.5123	186.92864	387.07697
ENST00000636615	79	100	90	62	44	121
ENST00000636635	37	18	28	31	20	24
ENST00000636639	0	2	1	0	1	0
ENST00000636644	0	0	0	2	2	0
ENST00000636691	7	7	3	2	0	2
ENST00000636701	1	1	2	0	1	0
ENST00000636706	0	1	1	0	0	0
ENST00000636714	1	0	0	0	0	0
ENST00000636715	1	0	0	0	0	0
ENST00000636737	2	0	3	0	0	0
ENST00000636738	2	2	0	12	7	14
ENST00000636743	2	2	1	2	0	1
ENST00000636748	0	0	0	0	0	0.75707
ENST00000636767	2	1	2	0	0	0
ENST00000636776	0	0	1	0	0	0
ENST00000636780	2	2	0	3	4	3
ENST00000636787	19	46	24	10	4	7
ENST00000636808	0	0	0	0	0	1
ENST00000636811	1	0	0	0	0	0
ENST00000636815	0	0	1	0	0	0
ENST00000636828	2.39112	0	0	0	1e-05	0
ENST00000636830	0	0	0	0	0	5.01248
ENST00000636836	8	12	11	5	2	4
ENST00000636843	355	459	318	137	86	197
ENST00000636849	1e-05	1e-05	1e-05	0	0	1e-05
ENST00000636863	0	1	0	0	0	0
ENST00000636867	1	7	5	8	5	13
ENST00000636879	1	0	0	3	0	1
ENST00000636880	27	19	29	43	17	37
ENST00000636886	0	0	3	0	1	1
ENST00000636891	0	1	0	0	0	0
ENST00000636894	2	6	3	3	2	3
ENST00000636920	4	4	5	2	0	0
ENST00000636932	0	0	0	0	0	1
ENST00000636933	0	0	0	3	0	1
ENST00000636934	1	1	0	0	0	0
ENST00000636952	1	0	0	3	0	2
ENST00000636970	0	0	0	0	0	1
ENST00000636986	0	1	1	0	0	0
ENST00000636990	0	1	0	0	0	0
ENST00000636997	0	0	3	1	0	1
ENST00000637001	4	2	4	1	0	1
ENST00000637024	0	0	1	0	0	0
ENST00000637054	50.93684	0	45.51589	26	0	32
ENST00000637062	0	0	1	0	0	0
ENST00000637069	1	1	2	0	0	0
ENST00000637071	0	0	0	0	1	0
ENST00000637083	0	1	0	0	0	0
ENST00000637096	304	260	312	187	105	158
ENST00000637101	2	1	1	0	1	0
ENST00000637103	0	0	0	3	0	0
ENST00000637118	0	5	0	12	3	8
ENST00000637121	0	0	0	0.20178	0	0
ENST00000637128	30	24	36	10	8	14
ENST00000637149	0	1	0	0	0	0
ENST00000637156	2	4	2	4	3	3
ENST00000637180	0	0.99999	0	0	0	0
ENST00000637181	2	7	2	2	0	4
ENST00000637184	1	3	1	2	1	1
ENST00000637187	0	1	1	0	0	0
ENST00000637196	772	637	631	1179	661	839
ENST00000637200	1	2	0	0	0	0
ENST00000637202	0.93287	1.88543	0	1.72435	2	1.82309
ENST00000637206	0	0	0	2	1	2
ENST00000637247	21	37	14	4	16	7
ENST00000637252	2	0	1	1	0	2
ENST00000637263	0.66785	0	1	0	0	0
ENST00000637272	1	1	0	3	0	1
ENST00000637296	0	1	2	0	0	0
ENST00000637314	1	0	1	1	1	3
ENST00000637323	1	0	0	0	0	0
ENST00000637327	21.72628	31.81631	11.39937	7.91027	4.99998	13
ENST00000637334	0	0	1	0	0	0
ENST00000637340	0	0	1	0	0	1
ENST00000637342	0	0	0	0	0	2
ENST00000637381	0.09143	0.15331	0.28356	0	1e-05	0
ENST00000637397	1	3	3	0	0	0
ENST00000637401	6	12	13	0	1	0
ENST00000637422	1	0	0	0	0	0
ENST00000637429	2	1	0	0	1	2
ENST00000637450	0	0	0	1	1	0
ENST00000637465	0	3	0	1	0	0
ENST00000637466	904	706	674	42	24	45
ENST00000637481	0	0	0	1	0	0
ENST00000637482	2	0	4	0	2	0
ENST00000637494	0	0	0	0	0	1
ENST00000637513	9	11	5	0	0	0
ENST00000637532	1	0	0	1	2	0
ENST00000637537	0	0	1	0	0	1
ENST00000637541	18	17	11	0	0	2
ENST00000637557	0	0	1	1	0	0
ENST00000637561	597.99998	259	553.5519	1089.12907	629.11843	955.24802
ENST00000637576	36	31	25	0	0	0
ENST00000637578	1	6	0	3	2	2
ENST00000637616	0	1	0	0	0	0
ENST00000637625	0	0	0	0	2	0
ENST00000637630	0	0	1	0	0	0
ENST00000637636	3	0	1	1	0	3
ENST00000637648	1	1	0	0	0	0
ENST00000637650	0	0	0	2	1	0
ENST00000637667	1	1	1	1	0	0
ENST00000637726	1	0	2	0	0	1
ENST00000637770	1	2	2	0	0	0
ENST00000637788	0.2836	0.0809	0.02697	0.01945	0.02748	1.01722
ENST00000637790	784	772	781	443	139	572
ENST00000637801	0	0	0	1	0	0
ENST00000637806	1	2	0	0	0	0
ENST00000637815	0	0	0	1	0	0
ENST00000637845	0	1	0	0	0	0
ENST00000637861	0	1	0	0	0	0
ENST00000637864	1	0	0	0	0	0
ENST00000637877	46	28	25	6	2	6
ENST00000637892	0	1	0	0	0	0
ENST00000637897	0	1	0	0	0	0
ENST00000637915	91	120	100	33	19	55
ENST00000637917	1	0	0	2	1	4
ENST00000637920	22	35	33	14	6	7
ENST00000637933	0	0	1	0	0	0
ENST00000637940	0	0	0	0	0	1
ENST00000637944	7	10	5	8	6	16
ENST00000637973	3	6	4	1	0	0
ENST00000637974	0	1	0	0	0	0
ENST00000637995	2	4	2	2	2	3
ENST00000637997	3	3	5	0	0	0
ENST00000638011	0	1	0	0	0	0
ENST00000638018	0.5	0.5	0	0	0	0.5
ENST00000638026	1	0	0	0	2	3
ENST00000638076	3	1	2	0	0	2
ENST00000638088	0	2	1	0	0	0
ENST00000638090	5	7	2	1	1	0
ENST00000638119	6	8	5	0	0	1
ENST00000638122	0	1	0	0	0	1
ENST00000638125	224	211.8871	183.88743	110.87574	47	76
ENST00000638131	1	0	0	0	0	0
ENST00000638135	0	1	1	0	0	0
ENST00000638147	1	0	0	0	0	0
ENST00000638153	9	4	7	0	0	0
ENST00000638160	0.5	0.5	0	0	0	0.5
ENST00000638167	0	1	2	0	0	0
ENST00000638170	34	20	43	9	18	19
ENST00000638174	40	24.57533	63	15	1	11
ENST00000638187	0	0	0	1	0	0
ENST00000638208	207	233	231	58	46	44
ENST00000638216	11	25	15	5	3	8
ENST00000638227	0	1	1	2	1	6
ENST00000638233	3	1	1	0	0	1
ENST00000638246	44	37	28	15	7	27
ENST00000638262	0	0	0	2	0	0
ENST00000638276	11	4	1	2	0	5
ENST00000638295	24	40	27	7	4	13
ENST00000638304	0	3	0	0	0	0
ENST00000638311	3	0	2	0	1	1
ENST00000638316	0	0	0	2	0	0
ENST00000638329	0	0	0	1	0	2.15457
ENST00000638331	0	1	0	0	0	0
ENST00000638336	1	1	4	5	2	3
ENST00000638347	3	6	4	1	0	1
ENST00000638348	4	6	3.4261	1	1	0
ENST00000638358	22	26	25	84	67	62
ENST00000638373	0	0	0	0	0	1
ENST00000638375	197	172	165	18	15	24
ENST00000638386	0	3	0.76744	1	0	1
ENST00000638409	0	3	0	0	0	0
ENST00000638416	0	1	0	2.76645	0	2
ENST00000638422	0	0	1	0	0	0
ENST00000638426	137	229	172	210	112	174
ENST00000638430	0	0	2	0	0	0
ENST00000638439	4	8	2	0	0	0
ENST00000638445	1	1	0	0	0	0
ENST00000638451	7	5	4	5	0	1
ENST00000638481	3	3	1	0	0	0
ENST00000638482	0	2	0	0	1	0
ENST00000638484	0	0	0	0	0	2
ENST00000638487	0	1	0	0	0	0
ENST00000638546	1	0	0	0	0	0
ENST00000638554	0	0	0	0	0	1
ENST00000638559	2	0	0	0	1	0
ENST00000638567	30.78124	0	26.7443	0	0	6.4945
ENST00000638572	2	4	1	18	7	23
ENST00000638579	0	0	0	2	0	0
ENST00000638581	0	0	0	0	1	0
ENST00000638583	11	11	9	2	3	3
ENST00000638588	1	3	0	4	1	1
ENST00000638598	11	11	5	5.3104	5.99928	11
ENST00000638621	0	0	1	1	0	0
ENST00000638630	0	0	0	0	2	1
ENST00000638631	0	0	0	0	0	0.416
ENST00000638641	0	0	1	0	0	0.31449
ENST00000638661	0	1.31092	1.99314	0	0	0
ENST00000638663	0	1	0	0	0	0
ENST00000638671	0	0	0.99994	0	0	0
ENST00000638682	6	1	2	4	1	1
ENST00000638684	4	0	3	0	0	0
ENST00000638691	17	18	15	6	4	6
ENST00000638702	12	20	17	10	5	7
ENST00000638708	10	10	7	10	9	11
ENST00000638714	2	1	6	3	0	4
ENST00000638716	0	0.9288	0	0.98388	0	0
ENST00000638725	0	0.33794	0	0	0	0
ENST00000638752	39	58	49	53	43	53
ENST00000638764	0	5	4	0	1	1
ENST00000638771	0	0.02521	0	0	0	0
ENST00000638785	0	0	0	0	3	0
ENST00000638790	0	0	0	0	1	0
ENST00000638807	0	0	0	0.88408	0	0
ENST00000638817	0	4	3	1	0	0
ENST00000638822	0	15.20413	0	3.78539	0.20249	10.2109
ENST00000638838	26.80291	0	22.32303	26	15.80588	26
ENST00000638845	0	1.13915	2.90503	0.5	0	0
ENST00000638862	12	5	6	1	1	1
ENST00000638864	0	1	1	0	0	0
ENST00000638873	0	0	2	1	0	0
ENST00000638875	1	1	5	0	0	0
ENST00000638876	0	0	6.91035	0	0	2
ENST00000638888	0	0	1	0	0	1
ENST00000638898	0	1	0	1	3	0
ENST00000638901	0	0	0	1	0	2
ENST00000638919	67	60	78	33	12.03147	20
ENST00000638924	2.55025	10	2	3	0	0.5
ENST00000638926	33	42	39	26	7	9
ENST00000638948	15	23	26	11	8	6
ENST00000638977	0	0	1	0	0	0
ENST00000638978	1	1	1	0	0	0
ENST00000638988	2.04123	1.79909	2.91004	1.62485	0	1
ENST00000638998	1	2	0	0	0	0
ENST00000639040	0	0	1	0	0	0
ENST00000639047	0	0	2	0	0	0
ENST00000639083	0	1	0	0	0	0
ENST00000639092	1	0	0	0	0	0
ENST00000639100	0	0	0	1	0	0
ENST00000639106	0	0	0	0	0	1
ENST00000639110	0	0	0	0	0	1
ENST00000639115	0	0	3	1	0	0
ENST00000639119	1	1	0	0	1	3
ENST00000639141	18.43087	38.59045	61.88556	48.81667	54.58222	47.20858
ENST00000639145	8	4	4	0	0	5
ENST00000639146	1	0	3	0	0	1
ENST00000639153	42	60	52	7	3	2
ENST00000639161	108	102	101	61	43	65
ENST00000639167	0	0	0	0	0	1
ENST00000639169	1e-05	26	21	37	18	18
ENST00000639183	1	0	0	0	0	0
ENST00000639189	0	0	0	1	0	0
ENST00000639221	0	1	0	0	0	0
ENST00000639239	0.00502	0	0	0	0	0
ENST00000639249	2	0	0	9	4	4
ENST00000639292	0	1	0	0	0	0
ENST00000639300	0	0	0	1	0	0
ENST00000639335	5	3	4	2	0	0
ENST00000639346	0	0	1	14	21	14
ENST00000639416	0	0	0	0	0.76566	0
ENST00000639448	0	1	0	1	0	0
ENST00000639481	0	1	1	0	0	0
ENST00000639491	0	0	0	0	0.41084	0
ENST00000639499	29	35	41	37	22	41
ENST00000639520	0	0	0	0	0	1
ENST00000639561	1	0	0	0	0	0
ENST00000639583	0	0	0	1	0	0
ENST00000639588	2	0.95246	1	1	1	1.92289
ENST00000639589	1	0	0	0	0	0
ENST00000639608	0	0	0	1	0	2
ENST00000639628	0	0	1e-05	5.25435	7.12196	1e-05
ENST00000639636	0	4	0.75281	0	0	0
ENST00000639639	0	0	0	0	0	1.45975
ENST00000639662	285.99999	319	0	0	29.98425	0
ENST00000639664	0	3	1	1	1	1
ENST00000639682	0	1	0	0	0	0
ENST00000639689	0	0	0	1	0	0
ENST00000639698	3	0	2	0	0	0
ENST00000639703	2	0	0	0	0	0
ENST00000639704	4	4	4	5	3	4
ENST00000639707	1	0	0	0	0	0
ENST00000639713	1	1	1	0	0	0
ENST00000639715	0	5	0	0	0	2
ENST00000639724	0	0	2	0	0	0
ENST00000639725	1	1	3	2	2	3
ENST00000639739	0	1	0	0	0	0
ENST00000639752	47	33	50	20	2	5
ENST00000639753	0	0	0	0	3	0
ENST00000639767	1	2	1	1	0	0
ENST00000639783	0	2	0	2	0	1
ENST00000639799	0	0	0	1	0	0
ENST00000639821	14	19	10	0	0	0
ENST00000639824	0	0	0	0	0	1
ENST00000639828	5	8	5	4	0	3
ENST00000639835	9	3	9	21	17	13
ENST00000639845	0	0.0492	0.00998	0	0.0153	0
ENST00000639867	0	0	1.95481	0	0.19761	0
ENST00000639878	1	0	0	0	0	0
ENST00000639893	2	1	1	0	0	0
ENST00000639900	7	7	3	6	2	0
ENST00000639902	0	0	0	1	0	0
ENST00000639912	1	0	0	0	0	0
ENST00000639916	0	0	0	0	0	0.76709
ENST00000639932	0	3	3	2	4	2
ENST00000639935	1.40943	0	0	0	0	0
ENST00000639956	0	1	0	0	1	0
ENST00000639959	99	80	77	80	47	75
ENST00000639976	1.51195	1.37676	1.82211	0	0	1
ENST00000639984	0.99998	0	0	0	0	0
ENST00000639997	20	16	9	3	4	1
ENST00000640001	0.01164	1	0	0	0	0
ENST00000640005	1	0	0	0	0	3
ENST00000640006	0	0	0	0	2	2
ENST00000640019	6	24	13	3	5	10
ENST00000640024	0	0	0	0	0	1
ENST00000640051	0	44.02078	46.91941	0	0	0
ENST00000640060	1	5	4	4	2	2
ENST00000640066	1	1	0	0	0	0
ENST00000640086	1	0	0	1	2	0
ENST00000640094	0	0	0	1	0	0
ENST00000640107	0	1	0	0	0	1
ENST00000640131	22	14	9	11	1	3
ENST00000640175	2	4	6	0.99999	2	0
ENST00000640178	5	8	1	4	2	0
ENST00000640187	3	2.79576	2	1	0	2
ENST00000640194	0	0	2	0	1	0
ENST00000640201	0	1	0	0	0	0
ENST00000640210	0	0	0	2e-05	0	0
ENST00000640218	23	30	28	12	14	21
ENST00000640231	0	0	1e-05	0	0	0
ENST00000640233	0	0	0	0	0	1
ENST00000640234	3	9	7	0	2	3
ENST00000640252	1	2	0	0	0	1
ENST00000640254	0	0	0	1e-05	0	5.99998
ENST00000640269	2.52764	0	0	2.78314	0	0.3375
ENST00000640272	0	0	0	0.01948	0	0
ENST00000640274	0	0	0	1	0	0
ENST00000640281	0	0.76247	0	0	0	0
ENST00000640298	4	1	0	0	0	0
ENST00000640304	1	2	1	2	0	0
ENST00000640310	0	0	0	0	1	0
ENST00000640324	0	0	1	0	0	0
ENST00000640327	0.90004	0.88629	0	0	0	0
ENST00000640331	0	2.11243	2.83309	0	0	7
ENST00000640341	0	1	0	0	0	0
ENST00000640343	1	0	0	0	0	0
ENST00000640349	2	2	1	1	0	2
ENST00000640355	0	1	0	0	0	1
ENST00000640358	2	2	6	0	0	0
ENST00000640360	0	0	0	1	0	0
ENST00000640364	0	1	0	0	0	0
ENST00000640385	2	1	6	0	0	1
ENST00000640391	7	5	1	0	0	0
ENST00000640406	0.34268	0.1796	0.26233	0.11929	0.10576	0.26709
ENST00000640420	2	1	0	0	0	1
ENST00000640425	0	0	0	0	0	1
ENST00000640429	2	0	8	0	3	0
ENST00000640437	14	8	7	21	2	15
ENST00000640440	0	2	0	0	0	0
ENST00000640486	0	0	0	6	3	2
ENST00000640495	0	0	0	0	1	3
ENST00000640505	1	1	4	0	0	1
ENST00000640517	0	8.12522	4.50145	0	0	0
ENST00000640521	1	2	0	0	0	0
ENST00000640530	0	0	0	3	0	0
ENST00000640533	0	0	0	0	0	1
ENST00000640540	1	0	3	0	0	2
ENST00000640549	3	0	0	0	0	0
ENST00000640557	0	0	0	0	0	1
ENST00000640573	0	1	0	0	0	0
ENST00000640577	0	0	0	0	0	2
ENST00000640585	3	7	3	0	0	0
ENST00000640600	0	2	0	0	0	0
ENST00000640608	10	9	7.99999	19	15	14
ENST00000640621	0.5085	0.53611	11.0765	63	35	52
ENST00000640638	6.68797	0	2.41963	5.35384	0	0
ENST00000640640	1	0	0	0	0	0
ENST00000640678	0	0	0	2.44082	0.7555	4.06795
ENST00000640683	4	3	2	2	2	4
ENST00000640686	12.5	15.5	12	4	5.5	3.5
ENST00000640709	1	0	0	0.56357	18	4
ENST00000640715	3	2	2	0	0	0
ENST00000640718	2	7	2	1	3	1
ENST00000640721	3	7	2	0	0	0
ENST00000640732	2	0	3	1	3	5
ENST00000640747	2	2	2	0	1	4
ENST00000640768	0	0	1	0	0	0
ENST00000640784	1	0	0	0	0	0
ENST00000640792	0	0	5	0	0	0
ENST00000640799	15	15	14	7	6	4
ENST00000640804	1	1	2	0	0	4
ENST00000640808	1	0	0	0	0	0
ENST00000640815	0	0	0	44	13	56
ENST00000640821	27	24	23	0	0	0
ENST00000640838	73	42	52	15	17	14
ENST00000640840	0.84068	0	0	0	0	0
ENST00000640851	0	1	0	0	0	0
ENST00000640865	1	0	0	0	0	0
ENST00000640868	2	2	3	0	0	1
ENST00000640876	5	4	2	2	0	2
ENST00000640880	0	0	1	0	0	0
ENST00000640888	143	176	133	141	52	135
ENST00000640900	94.32024	25.13472	73.71129	15.51813	87.17933	17.85146
ENST00000640920	3	0	0	0	0	0
ENST00000640954	0	3	1	3	0	0
ENST00000640955	0	1.20842	1.11801	0	0	1.94072
ENST00000640961	12.04676	12.48483	51.80157	24.91864	0	75.58649
ENST00000640965	0	0	1	0	0	0
ENST00000640967	0	1	0	0	0	0
ENST00000640977	3437.89954	4021.61887	4578.91785	2530.70761	1365.70256	2286.29885
ENST00000640979	2	2	2	0	0	1
ENST00000640986	4	3	8	1	0	3
ENST00000640992	0	0	0	0	0	1
ENST00000640996	0	0	0	1	0	0
ENST00000640999	0	0	2	0	0	0
ENST00000641023	2023	2073	1789	2585	1703	3605
ENST00000641025	0	0	5	0	0	0
ENST00000641036	1.28594	0	0	6e-05	3.64141	3.92475
ENST00000641051	1	1	1	1	0	0
ENST00000641059	0	0	0.5963	0	0	0
ENST00000641074	1	0	2	1	0	3
ENST00000641083	0	0	0	0	0	1
ENST00000641092	1	2	2	0	0	0
ENST00000641097	0	0	0	1	0	0
ENST00000641099	0	1	2	0	0	0
ENST00000641115	29	30	16	7	7	9
ENST00000641134	0	0	1	0	0	0
ENST00000641140	2	0.71657	0	0	0.69059	0
ENST00000641144	2	0	4	0	1	0
ENST00000641178	0	0	1	1	0	0
ENST00000641186	2	4	5	0	4	1
ENST00000641198	0	0	5	0	2	0
ENST00000641213	2	2	5	0	0	0
ENST00000641226	0	0	1	0	0	0
ENST00000641234	23	9	15.26628	38	18.6817	22
ENST00000641243	0.19612	0	0	2	0	0
ENST00000641267	5	8	6	0	0	0
ENST00000641285	3	1	4	0	0	0
ENST00000641308	2	0	0	0	0	0
ENST00000641309	0	0	0	1	0	0
ENST00000641323	7	8	7	1	0	3
ENST00000641325	0	0	1	0	0	1
ENST00000641330	4	1	1	0	0	0
ENST00000641331	3	5	3	0	0	0
ENST00000641332	0	0	2	0	0	0
ENST00000641334	3	0	1	0	0	0
ENST00000641352	0	0	0	0	0	1
ENST00000641370	1	1	1	0	0	0
ENST00000641389	0	2	0	0	0	0
ENST00000641397	1	0	0	0	0	0
ENST00000641433	10	0	0	6	2	1
ENST00000641448	3	4	6.58021	0	0	0
ENST00000641455	1	0	0	0	0	0
ENST00000641457	0	1	0	0	0	0
ENST00000641471	2	3	4	8	2	9
ENST00000641498	2	4	6	3	0	1
ENST00000641499	1	0	0	0	0	0
ENST00000641508	0	0	1	0	0	0
ENST00000641509	2	2	3	0	1	0
ENST00000641511	4	3	1	2	0	3
ENST00000641573	0.10272	19	12	0.11869	14	0
ENST00000641586	1	0	2	0	0	0
ENST00000641590	0	1	0	0	0	0
ENST00000641596	0	1	0	4	1	8
ENST00000641601	0	0.80525	0	0	0	0
ENST00000641632	0	0	0	0.37723	0.01835	2
ENST00000641641	1	1	3	0	0	1
ENST00000641642	0	0	0	3	0	2
ENST00000641686	27.65912	31.81702	32.1426	19	4	19.6025
ENST00000641690	8	7	4	0	0	0
ENST00000641691	3.99998	2.99998	5.99997	9.99995	1.99994	8.99995
ENST00000641703	0	0	2	1	0	0
ENST00000641704	0	0	0	0	0	1
ENST00000641708	123.60824	115.99224	153.70365	177.67872	38.82429	156.4253
ENST00000641709	0	1	0	1	1	2
ENST00000641710	1	1	0	0	0	0
ENST00000641729	11	6	12	3	1	1
ENST00000641733	0	0	0	7	3	8
ENST00000641742	2	0	0	0	0	0
ENST00000641748	0	2	0	0	0	0
ENST00000641751	0	1	1	0	0	0
ENST00000641800	0.43221	5.81259	0	0	0	0
ENST00000641807	29	42	30	13	0	9
ENST00000641811	1	0	0	0	0	0
