GENEID	R2_HCC827.bam	R3_HCC827.bam	R1_HCC827.bam	R3_H1975.bam	R1_H1975.bam	R2_H1975.bam
BambuGene7863	37	3	38	1	1	0
BambuGene7884	3	1	3	156	186	159
BambuGene7899	7	7	6	26	21	13
BambuGene7925	0	6	2	7	6	3
BambuGene794	27	38	66	37	62	35
BambuGene7947	4	5	5	4	3	1
BambuGene8000	42	54	78	108	114	81
BambuGene8014	1	1	1	14	13	18
BambuGene8132	8	15	18	2	3	6
BambuGene8140	1	8	6	1	3	3
BambuGene8214	80	102	101	66	72	62
BambuGene8271	80	57	88	97	133	95
BambuGene8450	11	8	10	4	7	3
BambuGene8486	10	0	5	1	6	1
BambuGene8495	4	0	0	5	4	7
BambuGene8561	0	1	1	8	11	7
BambuGene8584	3	6	10	0	0	0
BambuGene8704	23	15	28	7	11	11
BambuGene8716	7	10	3	17	14	11
BambuGene8821	0	2	6	1	2	2
BambuGene8902	0	1	0	3	3	10
BambuGene8954	0	2	5	3	5	4
BambuGene905	3	0	7	1	11	5
BambuGene9054	22	1	18	6	1	63
BambuGene9063	2	4	2	22	5	1
BambuGene9268	6	4	5	4	4	3
BambuGene9603	4	9	12	6	7	11
BambuGene9639	8	2	8	0	0	0
BambuGene966	65	76	107	136	193	139
BambuGene9762	4	6	6	0	0	1
BambuGene9812	25	11	24	37	38	19
BambuGene988	37	42	60	27	22	31
ENSG00000000003	2459.00001	3796.99999	3619	1863	2044	1943.00002
ENSG00000000005	0	1	0	0	0	0
ENSG00000000419	1044.00001	1643	1647	3477	4079	2845.00001
ENSG00000000457	54.00001	269.99999	76.99999	363.00001	418.99999	289
ENSG00000000460	253	96.99999	369	61.00002	78.99999	56
ENSG00000000938	4	0	0	4	1	1
ENSG00000000971	98	132.99999	134.00001	420	511.00002	419.00001
ENSG00000001036	1856	1880.00001	2140.00002	2165.99999	2453	2442
ENSG00000001084	243	375.00001	349	594	568	438
ENSG00000001167	106	146	208	360	396.00001	364
ENSG00000001460	107.99999	93	121	207.99999	256.99999	231.99999
ENSG00000001461	551.99999	420	621.99998	576.99999	618.99999	576.00001
ENSG00000001497	2036.99999	2170.99998	2293.99999	1365.00002	1550.99997	1435
ENSG00000001561	41	44	53	21	21	18
ENSG00000001617	7	5	2	16	19	18
