GENEID	R2_HCC827.bam	R3_HCC827.bam	R1_HCC827.bam	R3_H1975.bam	R1_H1975.bam	R2_H1975.bam
ENSG00000204677	1654	2139.99999	2896	1241.00002	1348	1239
ENSG00000204681	0	0	0	28	22	30
ENSG00000204682	19	10	27	92	66	89
ENSG00000204684	0	0	0	5	1	1
ENSG00000204685	67	64	39	123	67.00001	89.99999
ENSG00000204695	0	2	0	0	0	0
ENSG00000204706	12	21	24.99998	37	72.00001	52
ENSG00000204709	34	63	100	37	50	48
ENSG00000204710	0	0	0	1	0	0
ENSG00000204711	6	2	9	8	6	10
ENSG00000204713	1330.99999	1540	1665	2032	2119	1731
ENSG00000204740	0	3	2	2	3	5
ENSG00000204745	26	13	23	31	40	24
ENSG00000204754	0	0	0	2	3	1
ENSG00000204758	21	17	34	39.99999	46	35
ENSG00000204764	19.99999	15.99998	28	66.99999	67.99999	66
ENSG00000204767	0	0	1	0	0	1
ENSG00000204776	0	0	0	4	5	5
ENSG00000204778	9	22	34	44	36	23
ENSG00000204780	0	0	0	1	2	1
ENSG00000204789	0	0	0	0	1	1
ENSG00000204790	1	8	4	8	5	5
ENSG00000204792	14	23	20	142	204	148
ENSG00000204801	0	0	0	0	3	0
ENSG00000204802	49	56.99999	53	49	61	63.00001
ENSG00000204815	103	98	93	67	81	83
ENSG00000204822	6225	5928	7878	6059	6720.00001	5879
ENSG00000204839	568	196.99999	280	38	32	32
ENSG00000204842	560.99999	278	428	273.00001	373.00001	344.99998
ENSG00000204843	1519.99999	1005	1062.00001	731.00001	870.99998	718
ENSG00000204851	0	1	0	0	0	0
ENSG00000204852	263	335	399	564.99999	661.99999	650.00001
ENSG00000204856	429	711.00001	785	703.99998	692.00001	784
ENSG00000204859	325.99999	431	417	146	167	144
ENSG00000204860	133	200	257	224	174	164
ENSG00000204866	0	0	2	2	0	1
ENSG00000204869	0	0	0	2	1	2
ENSG00000204876	13	36	33	13	27	22
ENSG00000204882	0.99999	0	0	0	0	0
ENSG00000204887	0	0	0	0	9	0
ENSG00000204894	0	0	0	38	28	41
ENSG00000204899	473	541	800	383	444	425
ENSG00000204904	4	18.00001	14	20	41.99999	31.99999
ENSG00000204909	0	1	0	0	0	0
ENSG00000204913	0	1	0	3	5	2
ENSG00000204920	33.00001	30	37.00002	124.99999	138.99999	158.99999
ENSG00000204922	4864.99999	4688	5055	2906	2839	2765
ENSG00000204923	51.99999	82	84.99999	125	168	120
ENSG00000204928	1	1	0	0	0	0
ENSG00000204929	8	6	10	94	98.99999	60
ENSG00000204930	0	2	0	1	0	0
ENSG00000204933	0	0	0	0	2	0
ENSG00000204934	11.00001	11.99999	23.99999	29	41.00001	33
ENSG00000204936	2	1	1	117.00001	102.99999	117
ENSG00000204941	17	33.99999	36	63	53.99999	41
ENSG00000204946	66	47	102	67	45	62
ENSG00000204947	41	38	72	38	55	42
ENSG00000204949	16	7	10	32.99999	22	46
ENSG00000204950	1	0	2	5	4	5
ENSG00000204952	0	1	2	3	2	4
ENSG00000204954	704.00001	796	1148.00001	844	1021.99999	873
ENSG00000204956	5	7	9	20	34	23
ENSG00000204959	27	27	26	77	80	54
ENSG00000204961	4	2	6	2	19	6
ENSG00000204962	2	4	9	5	7	2
ENSG00000204963	1	4	2	132	167	133
ENSG00000204965	3	3	0	20	17	15
ENSG00000204967	66	47	44	41	64.00001	35.99999
ENSG00000204969	0	0	2.00001	7	2	2.00001
ENSG00000204970	0	1	3	92	154	96
ENSG00000204971	3	5	19	0	0	0
ENSG00000204977	181	215	308	159	144	144.00001
ENSG00000204982	0	0	0	1	0	0
ENSG00000204983	1	1	0	63	46	31
ENSG00000204990	0	0	0	1	1	0
ENSG00000204991	150	137	147	113.00001	131	87.00001
ENSG00000205002	0	0	0	1	0	2
ENSG00000205015	1	0	0	0	0	0
ENSG00000205018	0	0	0	0	1	0
ENSG00000205022	1	0	0	0	0	0
ENSG00000205037	1	1	1	1	4	2
ENSG00000205038	1	0	0	0	0	0
ENSG00000205041	4	0	4	0	2	1
ENSG00000205045	3	9	10	6	4	7
ENSG00000205054	0	0	2	9	5	6
ENSG00000205057	0	0	0	2	4	9
ENSG00000205060	133	105	168	419	503	453
ENSG00000205076	43	42	41	0	0	2
ENSG00000205078	431.99999	478	583	255	253	271
ENSG00000205084	111	136.00001	177.99998	213.99998	210.00001	209.99999
ENSG00000205085	20	9	5	11	11	14
ENSG00000205086	0	0	1	0	0	0
ENSG00000205089	5	2	2	8	11.00001	10
ENSG00000205090	1	0	1	3	3	4
ENSG00000205097	0	0	0	0	1	0
ENSG00000205100	0	0	0	3	4	4
ENSG00000205105	114	104	142	144	206	152
ENSG00000205106	0	0	0	8	12	13
ENSG00000205111	0	2	0	1	4	0
ENSG00000205116	1	0	1	3	7	6
ENSG00000205129	45	21	59.99999	281.99999	363	298
ENSG00000205133	112	135.99998	175	548.00002	693.00002	550.99998
ENSG00000205138	412	284	309	146	136	170
ENSG00000205143	0	0	0	0	1	0
ENSG00000205155	4049.00001	4659.99999	5648.99999	4153.00001	4124	3767.99999
ENSG00000205177	0	1	1	3	3	4
ENSG00000205181	19	17	37	20	33	26
ENSG00000205189	444.99999	233	433.99999	153	171	135
ENSG00000205208	77	122	141	135	217	172.00001
ENSG00000205209	1	2	4	15	12	25
ENSG00000205213	145.99999	124.99999	154	90.99999	136	83.99999
ENSG00000205220	5467.00001	6508	6787.99999	2176.99999	2511	2047.00001
ENSG00000205236	12	21	10	24	18	16
ENSG00000205238	7	5	16.00001	12	8	11
ENSG00000205250	1192.99998	1045	1054.99999	725.99999	820.99999	867.99999
ENSG00000205268	42	32	46	168	153	148
ENSG00000205269	17	11	13	0	1	1
ENSG00000205274	0	0	0	2	2	4
ENSG00000205277	9	15	16	50	69.00001	55
ENSG00000205293	0	1	1	12	25	15
ENSG00000205300	0	0	0	14	11	8
ENSG00000205302	989.99999	1543.99999	1589.00001	1825	2586.99998	1740.00001
ENSG00000205307	1	2	0	3	3	0
ENSG00000205309	42	39.00001	27	73	62.00001	60
ENSG00000205312	1	5	3	0	0	1
ENSG00000205318	0	0	0	0	2	0
ENSG00000205323	1443.99999	1605.00002	1765.00001	2964.00001	3071.00001	2845
ENSG00000205333	0	0	1	0	0	1
ENSG00000205334	41	31	42.99999	152	148.99998	142.00001
ENSG00000205336	1643.00001	1368.00001	1633.00003	2312.99999	2110.99999	2408.99999
ENSG00000205339	646	564	802	1070	1098	925
ENSG00000205352	12207.00001	15524.00001	16310	10544.99999	11616	11280.00001
ENSG00000205356	460.00001	187	217.99999	283.00001	271	216
ENSG00000205358	4	4	2	5	8	9
ENSG00000205360	0	1	1	1	2	2
ENSG00000205361	3	1	5	10	10	8
ENSG00000205362	2145	1881	2588.00001	1453	1831	1545
ENSG00000205364	1	1	1	333	413	348
ENSG00000205403	633	819.99999	802.00001	546.00002	575.99999	460.99999
ENSG00000205412	0	0	0	0	1	0
ENSG00000205413	212	194	147	570	650	539
ENSG00000205420	9	20	30	25	19	24
ENSG00000205423	88	145.99999	130.99999	260.99999	308.00001	328.99999
ENSG00000205424	0	2	0	0	0	0
ENSG00000205426	257	219	369	457	489	483
ENSG00000205436	4.00001	11.99999	7.99998	85	54	92.00001
ENSG00000205444	0	0	2	1	0	4
ENSG00000205445	0	0	1	0	0	0
ENSG00000205464	7	14	18	35	40	33
ENSG00000205476	402	203	265	223	216	177
ENSG00000205482	16	9	9	12	17	15
ENSG00000205488	1	3	3	6	2	7
ENSG00000205500	3	1	0	1	0	1
ENSG00000205502	0	0	0	1	1	1
ENSG00000205517	502.99999	389	404.99998	99	121.00001	130.99999
ENSG00000205531	695	683.00001	933.00001	1712.00001	1957	1828.00001
ENSG00000205534	6	6	5	5	6	13
ENSG00000205537	0	1	0	0	0	1
ENSG00000205542	85722	92206	126342.99999	254162	327281	259633.00002
ENSG00000205544	8706	9984.00001	13193.00001	10272	11276	10723
ENSG00000205549	0	3	7	7	0	5
ENSG00000205559	117	110	180	194	207	183
ENSG00000205560	9	9.99995999999999	15	19.00007	21.99998	19
ENSG00000205562	0	0	0	96	93.00001	99
ENSG00000205571	641	1138	1276.00001	1453.99998	1608	1496
ENSG00000205572	708	811	1262	1226.00001	1372	1217.99999
ENSG00000205578	5	2	0	5	2	3
ENSG00000205579	1	5	4	10	11	8
ENSG00000205581	3632.00001	3601.99999	3973	4096.99999	4624	5322.00003
ENSG00000205583	0	0	0	0	1	0
ENSG00000205593	263.00001	216	205.99999	157	121	140
ENSG00000205609	4986	3489	4138	4802	5355	4875.00001
ENSG00000205611	40	62	60.99999	0	1	0
ENSG00000205622	3	0	1.99999	13	6	20
ENSG00000205628	28	35	35.99999	0	0	0
ENSG00000205629	1609	1743	1945.00001	1642.99999	1737	1636
ENSG00000205634	0	0	0	1	2	2
ENSG00000205639	1135.00001	556	714	234	186.99999	197
ENSG00000205643	230	285.99999	333.00001	315.99999	322.99998	354
ENSG00000205644	1	0	0	0	3	0
ENSG00000205659	140.99999	132	211.00001	215	229	230.00001
ENSG00000205667	4	12	4	15	6	8
ENSG00000205669	1	0	2	6	9	10
ENSG00000205670	256	334.00003	435	789	824	805.00002
ENSG00000205683	0	0	3	25	32.99999	27.00001
ENSG00000205693	3	2	1	0	0	1
ENSG00000205695	0	0	0	0	1	0
ENSG00000205702	6.99999	6	4	3	3	5
ENSG00000205704	28	12	22.99999	27	37.99999	37
ENSG00000205707	598.00001	815.99999	1013.99999	687.00001	804	645.00001
ENSG00000205710	12	10	7	12	10	14
ENSG00000205726	242	207	333.99999	296.99999	350	301
ENSG00000205730	504	347	645	1418	1465	1255
ENSG00000205740	0	3	0	10	1	3
ENSG00000205744	173	129	193	160	157.99999	138.00002
ENSG00000205746	0	0	3	1	0	0
ENSG00000205754	0	1	0	0	0	0
ENSG00000205755	23	48	39	52	38	48
ENSG00000205758	348.99998	480	518.99999	726.99999	697.00002	714.00001
ENSG00000205763	5	0	0	0	1	0
ENSG00000205765	192	187	288	909	1166.00001	668
ENSG00000205767	0	0	1	0	3	0
ENSG00000205771	0	0	0	0	0	1
ENSG00000205784	0	0	0.99999	1.99999	4	0.99999
ENSG00000205786	0	0	0	2	0	0
ENSG00000205790	2	2	0	2	6	1
ENSG00000205791	58	66	70	43	60	31
ENSG00000205795	0	0	0	3	9	7
ENSG00000205808	67	72	74	109	80	112
ENSG00000205809	7	16	16	6	4	0
ENSG00000205810	29	36	44	70	66	34
ENSG00000205830	0	1	0	1	0	0
ENSG00000205832	4	3	2	0	5	1
ENSG00000205835	0	0	0	1	0	0
ENSG00000205838	2	7	9	18	13	21
ENSG00000205853	3	4	4	5	7	6
ENSG00000205856	0	0	0	1	2	0
ENSG00000205857	3	0	0	0	0	0
ENSG00000205861	20	34	37	46.00001	75	53
ENSG00000205863	0	1	0	47	44	51
ENSG00000205864	0	0	0	0	2	5
ENSG00000205867	0	0	1	1	0	0
ENSG00000205869	0	0	2	0	2	0
ENSG00000205871	587	313	450	255	264	187
ENSG00000205879	0	1	2	0	0	0
ENSG00000205882	0	0	0	0	0	1
ENSG00000205885	48	12	31	17	19	27
ENSG00000205890	0	1	2	2	6	1
ENSG00000205903	402.00001	228	325.99999	277	323.99999	249.99999
ENSG00000205913	25.00001	17.99999	29.00001	104.99999	117	126
ENSG00000205918	0	0	0	2	0	2
ENSG00000205922	0	1	0	0	0	1
ENSG00000205923	1	0	0	1	0	2
ENSG00000205927	4	0	0	0	0	0
ENSG00000205929	0	0	2	2	2	2
ENSG00000205930	4	8	9	31.00001	28	29
ENSG00000205937	2094.99999	2330	2447	2801.99999	2776	3073
ENSG00000205940	3	2	6	2	4	1
ENSG00000205955	0	0	0	1	0	2
ENSG00000205959	0	0	0	2	0	0
ENSG00000205978	42	29	28	15	16	6
ENSG00000205981	2535.99999	3252	4362	4853	5648.00001	4889
ENSG00000206013	0	0	0	1	3	1
ENSG00000206028	2	1	1	7	10	1
ENSG00000206043	0	0	0	1	0	0
ENSG00000206053	1952.99999	1936.00001	2227.00001	2660	2810	2784.99999
ENSG00000206072	0	0	0	2	0	1
ENSG00000206073	2	5	7	747	918	654
ENSG00000206075	35	68	61	629	699	621
ENSG00000206077	8	2	4	8	5	7
ENSG00000206113	5	6	8	0	4	1
ENSG00000206127	0	1	1	1	5	0
ENSG00000206140	48.99999	57.99999	75.99999	99.99999	93.00002	91
ENSG00000206147	36	24	32	16	7	19
ENSG00000206149	0	0	1	0	0	0
ENSG00000206172	3	0	1	0	4	0
ENSG00000206178	0	0	0	0	1	0
ENSG00000206187	0	0	2	0	2	0
ENSG00000206190	125.99999	85	118.99999	110.99999	166	118
ENSG00000206195	514.99999	549.99999	721	1478.00004	1432.99998	1360.00002
ENSG00000206199	20	26	24	96	113	108
ENSG00000206228	59	24	37	20	25	16
ENSG00000206249	0	0	0	4	5	0
ENSG00000206260	0	0	0	0	0	2
ENSG00000206262	0	0	0	4	13	9
ENSG00000206337	214.99999	315	305	320	318	290.00001
ENSG00000206341	154	160	153	28	22	15
ENSG00000206344	17	6	13	6	31	26
ENSG00000206417	106	128	103	43	68	53.99999
ENSG00000206418	83	67	80	62	97	67
ENSG00000206448	2	0	0	1	4	3
ENSG00000206503	13765.00001	16647.99999	13721.99999	20498	21384.99999	19993.00001
ENSG00000206527	187	142	202	404	430	390
ENSG00000206530	8	5	5	14	27	16
ENSG00000206531	3	1	6	0	1	0
ENSG00000206535	18	35	40	63	100	88
ENSG00000206538	29	17	43	1	0	2
ENSG00000206549	0	3	1	10	4	0
ENSG00000206552	0	0	0	0	1	0
ENSG00000206559	6.99999	7	13	22	29	22.00001
ENSG00000206560	221	134	221.99999	474	530.00001	450
ENSG00000206561	1	2	8	2	2	2
ENSG00000206562	223	321	468.00002	1158	1120.00001	1225.00001
ENSG00000206567	57	45	75.00001	29	42	35.99999
ENSG00000206573	214	227	321.99999	394.00001	466	411.00001
ENSG00000206579	0	1	0	0	0	0
ENSG00000206582	9	2	16	0	3	0
ENSG00000206583	0	0	0	0	0	1
ENSG00000206585	0	2	2	6	9	2
ENSG00000206587	0	0	0	0	1	0
ENSG00000206588	0	0	1	0	0	0
ENSG00000206589	0	0	0	0	1	0
ENSG00000206595	19	0	10	0	0	0
ENSG00000206597	0	0	0	1	0	1
ENSG00000206599	0	0	0	0	1	0
ENSG00000206600	0	1	1	3	3	1
ENSG00000206601	0	0	0	0	0	25
ENSG00000206605	0	0	0	0	1	2
ENSG00000206612	1	5	6	6	6	7
ENSG00000206618	0	0	0	0	1	0
ENSG00000206625	1	2	2	2	7	5
ENSG00000206627	5	0	3	0	0	1
ENSG00000206637	0	2	0	0	0	0
ENSG00000206640	0	5	6	2	0	2
ENSG00000206647	0	0	0	2	2	0
ENSG00000206650	0	0	1	0	0	0
ENSG00000206652	2	1	1	0	0	0
ENSG00000206660	3	5	3	5	0	0
ENSG00000206662	0	0	0	0	1	0
ENSG00000206674	0	0	0	0	0	3
ENSG00000206675	1	1	2	2	0	1
ENSG00000206682	0	0	1	0	0	0
ENSG00000206702	0	0	1	0	0	0
ENSG00000206706	7	2	12	3	16	8
ENSG00000206712	0	2	1	7	0	0
ENSG00000206713	0	1	0	0	0	0
ENSG00000206728	0	0	0	4	2	1
ENSG00000206737	0	0	0	0	0	1
ENSG00000206747	0	0	0	0	0	1
ENSG00000206762	0	7	0	0	0	0
ENSG00000206763	0	0	1	0	1	3
ENSG00000206768	4	0	1	0	0	0
ENSG00000206786	0	0	0	0	1	0
ENSG00000206790	0	0	0	0	0	2
ENSG00000206811	1	3	0	1	0	0
ENSG00000206815	0	0	0	2	2	0
ENSG00000206816	5	1	0	0	0	0
ENSG00000206819	0	0	0	1	0	0
ENSG00000206820	0	0	0	0	1	1
ENSG00000206822	0	0	1	0	0	0
ENSG00000206824	0	0	0	2	0	1
ENSG00000206832	0	0	1	0	1	0
ENSG00000206846	4	0	6	6	5	1
ENSG00000206848	0	0	0	0	1	1
ENSG00000206859	0	2	9	2	0	0
ENSG00000206869	1	0	0	0	0	0
ENSG00000206878	1	0	0	0	0	0
ENSG00000206880	0	0	0	1	0	1
ENSG00000206898	0	0	0	1	0	1
ENSG00000206899	0	0	2	2	2	0
ENSG00000206903	9	3	4	12	6	9
ENSG00000206911	0	0	0	0	1	0
ENSG00000206914	3	1	0	0	0	0
ENSG00000206924	0	1	0	0	0	0
ENSG00000206927	27	0	7	3	0	0
ENSG00000206931	0	0	0	0	0	2
ENSG00000206932	3	2	3	3	7	2
ENSG00000206935	0	0	2	0	0	0
ENSG00000206936	0	0	4	1	0	0
ENSG00000206948	0	1	0	0	0	0
ENSG00000206957	2	1	0	1	1	1
ENSG00000206961	0	0	1	0	0	0
ENSG00000206965	0	1	2	7	3	5
ENSG00000206967	0	0	1	0	0	0
ENSG00000206969	0	0	3	0	0	0
ENSG00000206972	0	0	0	0	2	0
ENSG00000206975	1	0	0	1	4	0
ENSG00000206976	0	0	1	0	0	0
ENSG00000206977	4	0	0	0	0	0
ENSG00000206985	0	0	1	0	0	0
ENSG00000206990	0	0	0	1	2	2
ENSG00000206992	0	0	0	0	2	0
ENSG00000206999	1	0	0	0	0	0
ENSG00000207003	1	4	5	1	1	1
ENSG00000207005	1	2	3	1	1	2
ENSG00000207023	1	0	1	0	0	0
ENSG00000207025	0	1	0	0	0	0
ENSG00000207032	0	0	0	0	1	1
ENSG00000207033	0	0	0	3	0	4
ENSG00000207041	7	8	10	10	19	12
ENSG00000207046	1	1	1	0	0	0
ENSG00000207053	0	0	2	0	0	0
ENSG00000207056	0	0	0	0	0	1
ENSG00000207072	1	0	2	0	0	1
ENSG00000207083	0	0	3	0	0	0
ENSG00000207088	0	0	1	0	0	0
ENSG00000207092	0	0	0	0	0	1
ENSG00000207094	4	0	0	0	0	0
ENSG00000207109	1	0	0	0	1	0
ENSG00000207113	1	0	0	0	0	1
ENSG00000207116	0	0	0	0	0	1
ENSG00000207127	0	1	0	0	0	38
ENSG00000207134	0	0	0	0	0	1
ENSG00000207138	14	34	35	0	0	0
ENSG00000207142	0	0	0	0	1	0
ENSG00000207147	0	0	0	0	4	6
ENSG00000207153	0	0	0	0	1	0
ENSG00000207162	0	0	0	1	0	0
ENSG00000207165	0	0	0	0	2	0
ENSG00000207167	0	0	1	0	2	0
ENSG00000207172	1	2	5	2	2	5
ENSG00000207175	0	1	15	4	1	3
ENSG00000207176	0	0	0	1	0	0
ENSG00000207181	0	0	3	1	0	0
ENSG00000207186	2	1	0	0	0	6
ENSG00000207189	21	7	14	0	3	1
ENSG00000207191	0	0	0	1	0	0
ENSG00000207200	1	5	13	8	3	0
ENSG00000207205	0	1	1	2	0	1
ENSG00000207217	40	8	2	4	0	1
ENSG00000207234	0	10	43	5	0	2
ENSG00000207256	0	0	0	2	0	1
ENSG00000207257	0	0	0	0	1	0
ENSG00000207260	0	0	0	2	0	0
ENSG00000207265	0	0	0	1	0	0
ENSG00000207276	2	0	0	0	0	0
ENSG00000207289	0	0	0	1	0	0
ENSG00000207291	0	10	18	21	17	0
ENSG00000207293	0	0	0	1	0	0
ENSG00000207294	1	0	2	2	2	2
ENSG00000207295	0	0	3	0	1	3
ENSG00000207296	0	0	2	0	0	0
ENSG00000207302	0	1	0	0	0	0
ENSG00000207330	0	0	1	0	0	0
ENSG00000207331	0	0	1	2	4	2
ENSG00000207334	0	1	1	0	2	0
ENSG00000207352	0	0	0	0	0	1
ENSG00000207357	0	0	0	0	2	0
ENSG00000207359	0	0	1	9	0	8
ENSG00000207381	0	0	2	0	0	0
ENSG00000207383	0	0	0	0	0	1
ENSG00000207392	1	0	0	1	0	0
ENSG00000207399	0	0	0	7	1	0
ENSG00000207405	0	0	0	0	1	0
ENSG00000207411	0	0	0	0	4	2
ENSG00000207421	0	0	0	0	0	1
ENSG00000207425	0	55	91	100	110	0
ENSG00000207440	4	0	10	0	0	0
ENSG00000207448	0	0	0	1	0	0
ENSG00000207449	0	0	0	1	0	0
ENSG00000207450	0	0	0	1	0	0
ENSG00000207454	0	0	1	0	0	0
ENSG00000207462	0	2	1	0	0	0
ENSG00000207472	0	0	0	1	0	0
ENSG00000207475	1	1	1	1	1	1
ENSG00000207493	0	0	0	0	0	1
ENSG00000207507	0	2	1	2	6	4
ENSG00000207508	0	0	11	0	0	0
ENSG00000207513	0	0	1	0	1	0
ENSG00000207524	0	2	3	0	1	2
ENSG00000207546	1419	1888	0	2	0	1
ENSG00000207547	0	47	0	0	0	23
ENSG00000207561	2	0	1	1	4	0
ENSG00000207573	0	0	0	0	0	1
ENSG00000207575	0	0	0	0	3	0
ENSG00000207582	0	1	0	0	0	0
ENSG00000207600	0	0	0	1	0	0
ENSG00000207624	1	0	0	0	1	0
ENSG00000207627	1	1	0	0	0	0
ENSG00000207650	1	0	0	0	0	0
ENSG00000207693	0	0	1	0	0	0
ENSG00000207697	0	0	0	0	0	3
ENSG00000207721	0	0	0	2	0	3
ENSG00000207751	102	59.99999	82.99999	28	34.99999	36.00001
ENSG00000207752	0	0	0	0	2	0
ENSG00000207755	0	0	0	3	2	0
ENSG00000207757	0	0	0	27	0	0
ENSG00000207773	0	0	0	0	2	0
ENSG00000207776	0	0	3	0	0	0
ENSG00000207782	0	0	0	0	0	1
ENSG00000207827	0	0	0	0	1	0
ENSG00000207874	0	0	0	0	1	0
ENSG00000207922	0	0	1	0	0	2
ENSG00000207940	0	0	0	0	1	0
ENSG00000207952	0	1	0	0	0	0
ENSG00000207971	1	0	0	0	1	0
ENSG00000207972	0	0	0	0	2	1
ENSG00000207973	0	0	0	6	12	11
ENSG00000207997	0	0	0	1	1	0
ENSG00000208009	0	0	0	0	0	1
ENSG00000208028	1	0	1	1	0	0
ENSG00000208032	0	0	0	10	0	0
ENSG00000208036	0	1	0	0	0	0
ENSG00000208797	0	0	0	1	0	0
ENSG00000208892	0	0	0	1	0	0
ENSG00000209082	7	15	23	28	33	8
ENSG00000210049	4	0	1	0	0	0
ENSG00000210077	0	1	0	2	0	2
ENSG00000210082	321539	259196	489570	216224	272024	195368
ENSG00000210100	0	3	8	142	65	6
ENSG00000210107	8	30	1243	955	43	40
ENSG00000210112	0	0	0	0	0	1
ENSG00000210117	0	1	1	0	0	0
ENSG00000210127	0	6	1	3	1	1
ENSG00000210135	1	2	6	0	2	5
ENSG00000210140	87767	70684	89770	64221	76778	57545
ENSG00000210144	2	4	4	2	4	2
ENSG00000210151	123	161	110	366	530	141
ENSG00000210154	0	0	0	1	3	0
ENSG00000210156	0	526	43	6	3	4
ENSG00000210164	0	0	0	0	157	1
ENSG00000210174	0	0	0	0	1	0
ENSG00000210176	0	0	0	0	0	2
ENSG00000210184	0	0	0	0	0	1
ENSG00000210191	0	0	0	0	1	1
ENSG00000210194	252	1012	1587	1866	2363	1242
ENSG00000210195	1	1	0	0	73	0
ENSG00000210196	465	11	13	8	5	161
ENSG00000211445	17	1	4	606	768	660
ENSG00000211448	6	7	6	139	172	135
ENSG00000211450	11022.00001	12136	14880	8915	9791	8744.99999
ENSG00000211451	0	0	0	0	1	0
ENSG00000211452	5	0	2	1	1	0
ENSG00000211454	5	3	4	1	10	0
ENSG00000211455	97	87.00001	107	393.00001	333.00001	370
ENSG00000211456	75	45	76.99999	212.00001	186.99999	189.00002
ENSG00000211459	44659	26056	42408	7424	10243	6658
ENSG00000211460	712	883	973	1305.00001	1411	1421.00001
ENSG00000211491	4	0	0	0	0	0
ENSG00000211513	0	0	1	0	0	2
ENSG00000211563	2	2	1	0	0	0
ENSG00000211584	383	352	466	188	245.99999	225
ENSG00000211591	1	0	1	1	3	0
ENSG00000211645	0	0	0	0	1	0
ENSG00000211648	0	1	0	0	0	0
ENSG00000211649	3	1	9	0	0	0
ENSG00000211693	0	0	0	0	1	0
ENSG00000211697	0	0	0	1	0	1
ENSG00000211701	0	0	0	1	0	0
ENSG00000211714	0	0	0	1	3	2
ENSG00000211724	0	1	0	0	0	0
ENSG00000211747	0	0	0	0	2	1
ENSG00000211772	0	0	0	2	1	0
ENSG00000211791	0	0	1	0	1	0
ENSG00000211808	0	0	0	0	1	0
ENSG00000211809	0	0	0	1	0	1
ENSG00000211813	0	0	0	0	0	3
ENSG00000211814	0	0	0	0	1	0
ENSG00000211815	0	0	0	11	27	7
ENSG00000211816	2	1	3	0	2	0
ENSG00000211817	0	2	0	1	1	1
ENSG00000211818	17	11	19	29	51	34
ENSG00000211820	0	0	6	1	3	3
ENSG00000211829	0	1	0	0	4	1
ENSG00000211890	2	5	3	13	9	9
ENSG00000211891	25	33	26	86	67	98
ENSG00000211892	3	8	11	0	0	0
ENSG00000211893	0	0	2	0	0	0
ENSG00000211895	13	11	5	36	44	39
ENSG00000211896	0	0	0	0	1	1
ENSG00000211899	1	0	0	3	0	2
ENSG00000211938	0	1	0	0	0	0
ENSG00000211978	0	0	0	1	0	0
ENSG00000211979	0	1	0	0	0	0
ENSG00000212123	8	3	3	4	5	8
ENSG00000212124	0	1	3	0	0	0
ENSG00000212125	6	2	4	0	2	0
ENSG00000212127	15	30	32	56	45	58
ENSG00000212128	0	0	0	0	0	1
ENSG00000212136	3	0	0	0	3	0
ENSG00000212146	1	0	1	3	0	1
ENSG00000212163	0	2	2	1	0	0
ENSG00000212176	0	0	1	0	0	0
ENSG00000212182	5	1	0	0	0	0
ENSG00000212187	0	0	0	5	6	6
ENSG00000212190	0	0	1	0	1	0
ENSG00000212204	0	0	0	0	0	1
ENSG00000212205	0	1	2	0	0	0
ENSG00000212206	0	0	1	1	0	0
ENSG00000212232	58	31	56	29	42	13
ENSG00000212237	0	0	0	0	0	1
ENSG00000212242	0	0	0	0	0	3
ENSG00000212259	2	0	0	0	0	0
ENSG00000212264	0	0	0	0	1	0
ENSG00000212283	0	0	0	1	0	2
ENSG00000212296	0	1	1	1	1	0
ENSG00000212302	0	0	4	0	0	1
ENSG00000212327	2	0	2	0	0	0
ENSG00000212329	0	1	0	0	0	0
ENSG00000212331	0	0	0	2	0	0
ENSG00000212335	0	0	1	0	0	1
ENSG00000212344	0	0	0	0	3	0
ENSG00000212348	1	6	5	0	0	0
ENSG00000212370	0	0	0	0	6	0
ENSG00000212371	0	0	0	0	1	0
ENSG00000212388	0	0	0	0	1	0
ENSG00000212402	1	0	0	0	0	0
ENSG00000212420	3	0	0	0	0	0
ENSG00000212434	1	0	0	0	0	0
ENSG00000212451	0	0	9	0	0	0
ENSG00000212458	7	0	18	0	0	2
ENSG00000212464	9	10	12	57	19	69
ENSG00000212469	0	0	0	0	0	1
ENSG00000212517	0	0	0	4	2	0
ENSG00000212534	7	1	5	0	0	0
ENSG00000212536	10	0	2	1	3	0
ENSG00000212541	1	0	1	10	13	0
ENSG00000212558	0	0	0	0	1	0
ENSG00000212567	0	1	0	0	0	0
ENSG00000212568	0	0	0	1	0	0
ENSG00000212569	1	0	3	4	0	0
ENSG00000212576	0	0	0	2	0	0
ENSG00000212605	3	0	1	0	0	0
ENSG00000212643	3	0	0	0	1	0
ENSG00000212658	0	0	0	0	0	1
ENSG00000212663	1	0	0	1	0	1
ENSG00000212664	1759	1956	2489	1636	2091	1745
ENSG00000212694	16	30	41	60.00001	68.99999	58.00001
ENSG00000212695	10	9	19	4	1	4
ENSG00000212710	2	1	0	3	3	0
ENSG00000212712	0	0	0	0	0	1
ENSG00000212719	118.99999	125.99999	144.00001	338.99998	372.99998	348
ENSG00000212722	1	1	3	0	0	0
ENSG00000212724	183	161	194	6	20	15
ENSG00000212743	0	1	2	0	1	3
ENSG00000212747	590	855	768	493	524	501
ENSG00000212766	0	0	1	6	13	7
ENSG00000212769	1	0	0	0	0	0
ENSG00000212789	107	92	175	165	229	150
ENSG00000212802	8243	13466	13544	13405	12855	12694
ENSG00000212807	0	0	1	0	6	2
ENSG00000212829	1718	1490	2243	1902	2042	1922
