GENEID	R1_H1975	R2_H1975	R3_H1975	R1_HCC827	R2_HCC827	R3_HCC827
ENSG00000008394	20090.99999	17951.00002	17992.99997	25952	13784.00001	21167.00001
ENSG00000008405	1104	1256	1153.00001	756.00001	457	590
ENSG00000008441	502.99999	373	404	25	38	22
ENSG00000008513	441.99999	346	316.99999	1045.99999	815.00002	918
ENSG00000008516	2	5	11	2	3	1
ENSG00000008517	680.00001	701.99999	697.00001	100	82.99998	75
ENSG00000008710	86.00001	130	108	66	47	53
ENSG00000008735	112	97.99999	121	114.99999	178	79
ENSG00000008838	558	461.00001	496	781	1105	700.99998
ENSG00000008853	182.00001	182	178	302.99999	372	275
ENSG00000008869	139	102	96	72	66.00001	50.99999
ENSG00000008952	10187.99997	7926.00002	9218.99999	5081	3747	3203.99999
ENSG00000008988	91648.00001	71052	68822.99997	83128.00001	44897.00003	55806
ENSG00000009307	2071.00002	1798.00001	1821.00003	3086.99997	2520	2264.99998
ENSG00000009335	1208.99999	917.00001	1124.00001	596.00001	533	421.99999
ENSG00000009413	100	86	91.99999	40	61	49
ENSG00000009694	4	0	0	7	2	3
ENSG00000009724	7	2	7.99999	1	6	0
ENSG00000009765	1	1	2	31.00001	7	15.00001
ENSG00000009780	96.99999	104	101	77	66	56
ENSG00000009790	4	2	1	1	2	1
ENSG00000009830	267	282.99999	258	172	204	151
ENSG00000009844	900.00001	807.99999	739	636.00001	370	503
ENSG00000009950	32	41.00001	39.00001	16	21.00001	17.99999
ENSG00000009954	2586	1884	2354	1261	1085	703
ENSG00000010017	148.99999	113	123	126	78.99999	83
ENSG00000010030	96.99999	88.99999	98	27	5	23
ENSG00000010072	371	374.99998	347	118.00001	80	81
ENSG00000010165	416	410.00001	375	538	491.99999	497.00001
ENSG00000010219	619	559.00001	582	606	321	501
ENSG00000010244	2837.00001	2930.99999	2879	2339.00001	1599	2135
ENSG00000010256	10665	10479.00001	10037.99999	10073.99999	10703.99997	11224
ENSG00000010270	2341.99998	2185	1971	952.99999	462.00001	829
ENSG00000010278	12187.00001	9935	10258.00002	12778	7575.99999	10595.99999
ENSG00000010292	576	484.00001	488.00001	1319	2139.99999	1129
ENSG00000010295	25	33.00001	19	54	49	46
ENSG00000010310	37	47	31.99999	9	11	15
ENSG00000010318	138	126	117	44	35.00001	36
ENSG00000010319	16	26	44	63	65	56
ENSG00000010322	270	172	213	250.99999	340.00001	227
ENSG00000010327	0	1	0	0	2	0
ENSG00000010361	96.99998	84	87	59.99999	124.99998	88.00001
ENSG00000010379	0	3	0	3	0	2
ENSG00000010404	4010.00001	3379.99999	3359	2993.99999	2275.99999	2619
ENSG00000010438	1049	937	846.99999	2827	2075	2606
ENSG00000010539	348.99999	263.99999	323	152	106	138
ENSG00000010610	0	0	1	0	0	0
