"","gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","exp"
"106","ENSG00000294187",651.546286195507,-3.76837178721128,0.194306010437489,6.92608819963881e-85,1.28243710466331e-82,"Downregulated"
"107","FILIP1L",472.764379169021,-4.61171925842852,0.237476422120286,1.14651651892866e-84,2.10305417916008e-82,"Downregulated"
"108","MMP24",524.161905664559,5.29783622725392,0.275027730396192,9.18215832877405e-84,1.66868723628563e-81,"Upregulated"
"109","RPS19",178925.370138593,2.48622249962535,0.128470172038883,1.31732381162457e-83,2.37202884869317e-81,"Upregulated"
"110","SGPP2",382.595456786203,5.35050739672068,0.27811371450682,2.3499692516484e-83,4.19298604564574e-81,"Upregulated"
"111","RPS16",91288.8602103304,2.48004313083447,0.128759337802331,2.56429970308858e-83,4.53419011464141e-81,"Upregulated"
"112","KLK6",652.316649436467,4.02997499516335,0.210174719302549,6.03078903077731e-83,1.05684193131309e-80,"Upregulated"
"113","DNAAF3-AS1",332.121728966623,-4.94952842689863,0.259525239563079,7.42526281903805e-82,1.28969587034743e-79,"Downregulated"
"114","HES2",359.18050174401,-4.69986430724655,0.246286375881303,8.20527009326401e-82,1.41267400105695e-79,"Downregulated"
"115","ALDH1A3",509.647162362319,4.05537452027034,0.213804210399183,3.53763113168185e-81,6.03765967143649e-79,"Upregulated"
"116","RPL18AP3",95523.0109772186,2.36815886127623,0.125881015382135,5.73020151091465e-80,9.69540215988982e-78,"Upregulated"
"117","BATF3",312.31710644927,5.09464740243096,0.27139437342536,1.71818146441274e-79,2.88228611983153e-77,"Upregulated"
"118","GIHCG",944.437816341029,-2.68497195740013,0.143145265538799,2.45684178077723e-79,4.0864774263826e-77,"Downregulated"
"119","CREB3L1",370.422202063676,-5.86523188983818,0.313117521907113,6.40282489968543e-79,1.05603566643803e-76,"Downregulated"
"120","PMP22",779.768454220502,-3.2472809799116,0.17416143141437,1.338543831915e-78,2.18929998241631e-76,"Downregulated"
"121","LRATD2",1367.58018356555,2.75904313491641,0.148048962484034,2.22728245729528e-78,3.61279940407723e-76,"Upregulated"
"122","ENSG00000307083",826.520196439485,8.588334513612,0.459740261918493,5.39479911326003e-78,8.67899362261923e-76,"Upregulated"
"123","C1S",402.744954509201,-4.01376787863002,0.216494186000349,7.2134384781793e-78,1.15104192692053e-75,"Downregulated"
"124","LAMB1",1388.92354755374,3.17579796663394,0.171293351266957,1.19769842858322e-77,1.89574411756475e-75,"Upregulated"
"125","ZNF841",445.61238077118,-5.07104420470443,0.273240852777636,1.76164624164717e-77,2.76606646278473e-75,"Downregulated"
"126","ENSG00000228509",1220.24065881542,-3.52348225745873,0.190735548414865,3.11692929188316e-77,4.85523581045959e-75,"Downregulated"
"127","HACD1",752.319483055806,-2.93625561913725,0.159710757133774,2.51818054533384e-76,3.89167949317065e-74,"Downregulated"
"128","HOXC10",433.929230519027,4.11590468609892,0.224182034200483,3.02637069621338e-76,4.64051387926407e-74,"Upregulated"
"129","RAB15",1196.21917666638,3.93012048371411,0.214662222016169,6.76408914777258e-76,1.02913781165374e-73,"Upregulated"
"130","RRAGAP1-AS1",722.299894867608,-8.20684039701304,0.443911717606011,6.99750903341366e-76,1.05646238306777e-73,"Downregulated"
"131","COL8A1",354.063066656996,-5.00792179824699,0.273105702038469,1.88464607299512e-75,2.8236601889065e-73,"Downregulated"
"132","STK17A",1425.40537549548,-2.57961890042571,0.141470810044717,3.71231693371889e-75,5.51982154985611e-73,"Downregulated"
"133","MGP",374.341000103563,-6.02605231940577,0.330052570128136,4.03271261460477e-75,5.95113161555247e-73,"Downregulated"
"134","OTUD6B-AS1",1408.45725580632,-2.76411195434847,0.152932888827638,5.75654872107467e-74,8.43162550362183e-72,"Downregulated"
"135","PLA2G10",330.422194179505,4.10036114052929,0.226894268446707,6.58173417525997e-74,9.56886641909832e-72,"Upregulated"
"136","AKR1B1",11755.4516117264,-2.51939507200915,0.13949552120471,8.8960045661972e-74,1.28383736485847e-71,"Downregulated"
"137","GPR35",318.867228665733,4.93632593489096,0.276099680959541,1.32395699209439e-72,1.8967375097691e-70,"Upregulated"
"138","CD74",3298.79695657201,-4.50404776542706,0.252831618975249,3.70336223949127e-72,5.26709352713732e-70,"Downregulated"
"139","CASC9",922.721539600674,9.46785731137971,0.524113607910013,6.1145547199517e-72,8.6338392437764e-70,"Upregulated"
"140","SEPTIN6",645.472519490035,-2.84954741875104,0.160193441672069,1.07503355612022e-71,1.5071202575694e-69,"Downregulated"
"141","CXCL16",522.117775718875,3.06239143136794,0.172394109498923,1.5950288804364e-71,2.22025757704434e-69,"Upregulated"
"142","FOCAD",699.359165979826,3.71459067549579,0.209337377016364,1.86850422638251e-71,2.58261496135278e-69,"Upregulated"
"143","CLDN3",1692.12115626038,3.32683965404632,0.187776044355144,3.42255540641079e-71,4.69751713018353e-69,"Upregulated"
"144","ITGB2",444.668480921763,3.4168176995111,0.192921343701364,3.92131254081395e-71,5.34469453045524e-69,"Upregulated"
"145","SAA2",292.144332092237,5.0391680662001,0.285209850376498,8.61665043112491e-71,1.16633791732199e-68,"Upregulated"
"146","IFI27L2",2843.21717145785,-2.53338121958564,0.143927782193226,3.69725044499889e-70,4.97026948520501e-68,"Downregulated"
"147","LINC02968",308.341203587587,-5.85609928799954,0.331649772421497,4.16444001733481e-70,5.56023566124016e-68,"Downregulated"
"148","DHRS3",2015.16684359739,2.84849178015885,0.162002600788443,4.29303730975549e-70,5.69320562693048e-68,"Upregulated"
"149","TNNC1",357.905980818085,5.42642786305276,0.309923667837384,8.71432428335534e-70,1.14789290409003e-67,"Upregulated"
"150","GNS",5186.5226407259,2.88187939909191,0.164950996223197,3.19191837940397e-69,4.17651880217078e-67,"Upregulated"
"151","ASRGL1",687.09274862294,3.24402903793498,0.185964864508108,4.13014144139999e-69,5.36836331591772e-67,"Upregulated"
"152","CCN5",490.934059123145,-3.17212061353778,0.181769124121606,4.8063943988497e-69,6.20625676751468e-67,"Downregulated"
"153","ASMER1",427.106941867546,3.87046860822939,0.222734302641863,1.31072209471349e-68,1.68140800999619e-66,"Upregulated"
"154","TRIM31",269.774287524894,6.35607133272561,0.363706242197851,1.42329932016614e-68,1.81396725694161e-66,"Upregulated"
"155","ENSG00000283627",424.225457527015,-3.86491714669077,0.223225463745443,4.30214324762546e-68,5.44762358200935e-66,"Downregulated"
"156","A1BG",1181.65236437369,-2.63179432842739,0.15208298372978,5.77038299088756e-68,7.25995557449681e-66,"Downregulated"
"157","CD82",1100.64023233358,-2.57412920057036,0.148744406412799,6.66971395794622e-68,8.33799209252295e-66,"Downregulated"
"158","ZNF676",1247.58980205182,-9.7603227893562,0.555450798678083,1.05787629271e-67,1.31410999981134e-65,"Downregulated"
"159","NFE4",747.230239988711,-3.17396135733693,0.183818780871868,1.1064087589547e-67,1.36575375547194e-65,"Downregulated"
"160","EGFR",6608.02911070653,3.50645115330805,0.203291889703445,1.18761433272855e-67,1.45683165677895e-65,"Upregulated"
"161","ZC4H2",361.403688268782,7.59408577373431,0.437792050246558,3.6949881529322e-67,4.50444301103107e-65,"Upregulated"
"162","TMEM91",412.450599589571,3.48308499717312,0.203370185635783,9.40760549090303e-67,1.13977205537008e-64,"Upregulated"
"163","LINC02041",405.836714828948,-7.04357838236592,0.409166645088775,1.67604075348073e-66,2.01813815144578e-64,"Downregulated"
"164","PLCB1",810.449148410712,-2.9156931549594,0.170680292479667,2.36834552773904e-66,2.8343608337155e-64,"Downregulated"
"165","SERPINH1",2380.5182761427,-2.55982951702365,0.149823222236518,2.62788211211085e-66,3.12590558875149e-64,"Downregulated"
"166","APCDD1L-DT",554.535980717025,-7.94411166120033,0.461018290018443,4.49020484200197e-66,5.30899098999836e-64,"Downregulated"
"167","PAFAH1B3",4433.9634874162,2.57624468210291,0.150981750936586,4.61132428189905e-66,5.41954860364268e-64,"Upregulated"
"168","SELENOM",4090.52710703589,-2.33663994601061,0.137653798470429,1.66683831551272e-65,1.9473235487243e-63,"Downregulated"
"169","ENSG00000289850",919.015215169241,9.81965832294181,0.571594968066781,3.70083609552695e-65,4.29800651165133e-63,"Upregulated"
