"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"12663","SLC38A4-AS1-201",14.9521233266917,-0.327142570316096,0.514396701673587,0.458793123877352,0.576579345981763
"12664","CHURC1-204",77.4018684385064,0.309716974766764,0.320720278726679,0.308413400558062,0.42559832955985
"12665","DCTN2-220",14.1850400070022,0.990313403888545,0.763668853233196,0.0809174671577834,0.144675908944623
"12667","CPNE8-AS1-201",18.3041185789968,-2.18570778553874,0.690460356118173,0.000271141124565266,0.00102203910848587
"12668","P2RX5-207",6.45995368710629,-1.34466573330634,0.919135613358452,0.0410005412434088,0.0821037396588479
"12669","C12orf76-207",45.9388595932172,1.25330775678725,0.429081004869399,0.0014266787933358,0.00448156051311011
"12670","OAS1-208",19.8672696639064,-0.0590315841996194,0.481837757713691,0.887750384286338,0.927683771698919
"12671","RPLP0-221",46.7066280515027,-3.87778270301805,0.544811207256153,2.79359480898058e-13,4.79385150592422e-12
"12672","NAV3-213",8.35146905413225,-1.59952957857325,0.802704326736046,0.0114148110767035,0.0275396767131759
"12673","DAZAP2-210",9.16117369214695,-0.170528585369357,0.590361026162182,0.723349553012719,0.805344033517293
"12674","KRT8-214",468.800860843837,1.95262559295753,0.28411500163699,1.3495246713456e-12,2.10454425418617e-11
"12675","ZNF606-207",5.69006599488476,-2.36258982819817,1.17632837072405,0.00720393279976612,0.0184772501566788
"12676","MAPKAPK5-207",26.6704465796121,-0.404816270782084,0.426398572657763,0.295878035716476,0.412083632802709
"12677","NFYB-204",17.6712157372031,-1.43631634942143,0.572480808341072,0.00365065736057245,0.010229331948531
"12678","ALG10B-203",10.18081921486,0.182451896407085,0.577824872948713,0.702437362584483,0.788930896018223
"12679","TGIF1-219",47.915731514371,-0.805751363731741,0.409084993808215,0.0316107839776596,0.0656306226956896
"12680","CPM-211",146.671702758606,-0.321379588635735,0.250655445771647,0.185754316970209,0.28361506608242
"12681","ENST00000551650",13.5054491288186,1.21373172704748,0.667702717524317,0.0246447528392605,0.0532922552223252
"12682","GATC-203",446.576216116916,1.29465151677694,0.193998495987125,1.04257877432574e-11,1.45830787459404e-10
"12683","PCED1B-206",126.257964104839,11.9502028099971,3.04087609557654,2.61745513046e-19,8.59461733013508e-18
"12684","BICD1-206",33.186153093001,1.75201811596582,0.643168763160843,0.00133783808111568,0.00423217205657643
"12685","SNHG14-214",6.29628837840294,-5.78117443333034,2.6613907937651,8.95073602143414e-05,0.000378122585293334
"12686","CHURC1-205",74.8757103407202,-0.0385641097241576,0.264276369552108,0.878386968576382,0.921183775151392
"12687","KRT4-204",313.896149664877,9.5408131889974,0.838036906723526,7.53999175208103e-29,5.37740685656378e-27
"12688","NDUFA12-208",11.7386926973365,-0.243664793678456,0.533319625138746,0.590111394438393,0.696513707218329
"12689","CHURC1-206",2613.51831201454,-0.849810408664395,0.163128836030122,1.23827817471737e-07,9.15483705665921e-07
"12690","ENST00000552016",21.3327119678929,-0.0539764164450117,0.50900873740955,0.90025643061503,0.935775274192025
"12691","MFSD5-205",12.740394498832,-0.522486083130549,0.56069177963616,0.268767990522541,0.381418908730151
"12692","KRT8-215",42.2457000265408,-0.268999076677796,0.373478110559262,0.438034244426251,0.557222158014171
"12693","MRPL42-208",245.050947957402,-0.426309284791356,0.30001109363894,0.135913183509255,0.220761574781044
"12694","NUP37-209",689.260698704905,0.444822277311372,0.149211283318294,0.00257974543537058,0.00754779452308451
"12695","DYNLL1-210",77.8438776213709,0.562618515923958,0.631111933375424,0.264947745537795,0.377072755867391
"12696","RNASEK-206",595.864497991058,1.99447294836713,0.196434102237623,6.72951485465549e-25,3.53757642382993e-23
"12697","INAFM1-201",23.8479455403217,0.565200344625179,0.523465627881354,0.210108432949291,0.313322784009218
"12698","TMBIM6-225",75.3608723411558,-2.24128033758022,0.403231362092941,5.58661749465534e-09,5.19978022341279e-08
"12699","TMEM116-215",17.2449881908998,0.0921726895604832,0.470069587524551,0.827088856106532,0.884138996785034
"12700","BACC1-208",312.322771413409,1.02781998148537,0.184691542045257,1.45786535838785e-08,1.26051879674662e-07
"12701","KRT8-216",41.2248160911644,-2.68597961661535,0.479807971628935,2.43648241535248e-09,2.42519191489232e-08
"12702","TMEM106C-220",586.834525812041,0.870283102273606,0.176712144312519,5.60215740217683e-07,3.64270362556179e-06
"12703","MYL6B-210",19.4384110926772,2.35056883368013,0.764634379011241,0.000265800072866102,0.00100427312835557
"12704","CD63-AS1-201",49.2088098213744,-0.660821247336893,0.331916587577797,0.0343044909747587,0.0704267300044689
