R1_H1975 R2_H1975 R3_H1975 R1_HCC827 R2_HCC827 R3_HCC827
LINC02649-204 2 0 0 0 0 0
RBMS3-AS3-205 0 3 2 0 0 0
ZNF407-AS1-208 0 0 1e-05 0 0 0
COX10-DT-220 21 16 15 2 1 1
AHI1-DT-213 0 0 0 0 0 0.81262
GIHCG-211 0 0 0 1 0 0
SNHG17-259 0 0 0 0 0.99812 0
MIR4458HG-206 0.85706 2.26031 1.60925 1.6619 0.30208 4.53043
ENST00000664654 3 1 3 0 0 2
ENST00000664662 0 1 1 0 0 0
MAGI2-AS3-236 0 0 1 0 0 0
CNN3-DT-208 0 1 0 0 0 0
ENST00000664676 136 170 153 54 29 65
MAGOH-DT-203 0 4 2 4 2 2
DPH5-DT-217 1 0 0 5 0 5
LINC00662-253 1 0 0 0 0 1
ENST00000664694 42 18 37 0 0 1
RBM26-AS1-208 2 0 0 0 0 0
LUCAT1-259 0 2 0 0 0 0
DENND3-AS1-204 2 0 5 5 8 3
MCM3AP-AS1-213 0 1 3 3 0 0
PYDC2-AS1-221 0 4 4 0 0 0
RNF32-DT-222 5 7 6 5 0 0
LINC00863-204 8 5 1 1 0 4
MYLK-AS1-209 0 1.65131 0.91521 0 0 0
PTPRG-AS1-219 3 1 4 5 2.78136 2
IGFL2-AS1-209 3 6 3 1 0 3
ENST00000664768 2 2 3 3 3 4
LINC02609-217 0 0 0 7 4 1
FBXW4-206 19.5 0.28716 22 8 3.5 9.5
UCA1-241 0 0 0 0 0 2
CFAP418-AS1-207 1 0 1 0 0 0
SCAT1-227 5 4 6 0 0 0
SNHG31-204 4 4 2 6 3 6
LINC02582-207 0 0 0 4 1 1
LINC00910-219 0 1 0 0 0 1
LINC02478-204 3.83395 15 15 9.24965 30 0
FAN1-221 0 2 0 0 0 0
ARHGEF26-AS1-216 1 0 0 0 0 0
LINC01151-207 0 0 1 0 0 0
LINC02614-226 1.89615 1 1 0 0 0
HCG18-263 0 2 0 2 3 3
LINC01410-208 0 0 1 0 0 0
USP34-DT-206 0 2 1 0.09706 1 0
ERICH2-211 74 79 87 45 28 43
THUMPD3-AS1-229 0 2.39402 0 0 0 0
LINC02981-221 0 1 0 0 0 0
UBL7-DT-209 1.13962 0.3305 0.30428 0.20586 0 0
CYP4F26P-207 0 0 0 1 0 0
ENST00000664903 1 0 0 1 0 1
MIR100HG-272 2 1 2 0 0 1
ENST00000664914 1 0 0 0 0 0
LNCTAM34A-205 2 5 12 1 1 3
ENST00000664918 0 0 0 1 0 0
LINC00662-255 14 7 13 7 12 6.2286
RNASEH1-DT-203 374 411 378 107 59 77
LINC00667-228 0 1 0 1 0 0
SNHG29-244 3 3 1 6 1 4
ENST00000664961 1 0 1 55 19 46
TRIM7-AS2-204 49 57 56 31 46 28
PYDC2-AS1-222 2 2 0 0 0 0
MIR4435-2HG-255 1 0 0 0 0 0
LINC00702-213 0 0 0 0 0.5 0
DDHD1-DT-219 0 0 0 0 1 0
OLMALINC-226 0 0 0 4 0 1
PAX8-AS1-227 2.84768 0.76844 2.06306 4.82973 0 3
MIR3147HG-212 8 8 4 0 0 0
LINC01825-202 2 0 1 0 0 0
LINC02029-213 0 0 0 0 0 2
ASAH1-AS1-208 3 3 0 6 1 0
PRKAR2A-AS1-206 0 0 1.02482 0 0 0
LINC01503-217 10 5 12 0 0 0
ERCC6L2-211 4 13 13 6 2 4
TPT1-AS1-242 0 0 0 1 0 0
LINC03015-213 18 18 10 7 1 4
NR2F1-AS1-257 1 0 1 1 0 0
ENST00000665104 1 0 0 0 0 0
SNHG5-261 1 0 0 1 1.60465 1.56258
PAXBP1-AS1-212 1 0 1 0 0 0
ENST00000665147 0 3 1 2 0 0
LNCTAM34A-206 1 0 0 0 0 0
ENST00000665159 579 415 498 509 297 395
LINC03060-213 36 28 15 8 4 11
SNHG17-262 0 2 0.99982 7 7.97649 0.15704
ENST00000665195 0 2 0 0 0 0
LINC01213-208 0 16 6 2 0 0
ENST00000665205 0 0 0 2 0 1
CLN8-AS1-206 141.2611 214.2126 140.07273 1.32888 42.16688 57.27488
TUBA1B-AS1-208 16 6 16 5 1 3
ETS2-207 2 1 0 0 0 0
DLEU2-214 0 0 1 2 0 0
SNHG17-263 3.59215 0.00134 26.46947 41.29412 6.23471 10.79038
STARD7-AS1-205 3 7 4 0 4 1.62287
PVT1-326 2 0 0 0 0 0
LINC01106-204 2 1 1 2 1 2
ENST00000665268 0 1 0 0 0 0
SNHG5-262 5 2.90088 1 1 0 4
NIHCOLE-203 0 0 0 3 0 3
LINC00667-229 0 1 0 0 0 0
RENO1-201 17 15 22 49 36 43
ENST00000665299 9 0 4 7 12 9
FTX-265 0 0 0 0 1 0
LINC02026-203 1 2 1 0 0 0
ZNF567-DT-204 34 27 25 11 19 12
ENST00000665331 0 0 0 1 1 3
LINC01948-204 0 0 1 0 0 0
ZNF790-AS1-209 10 10 15 4 11 4
MICB-DT-202 2 2 1 2 0 0
LINC02028-247 0 0 0 2 0 3
LERFS-215 0 7 5 0 0 0
ENST00000665362 0 0 1 0 0 0
SNHG8-208 0 0 9e-05 1e-04 39.5256 8.60077
COPS8-DT-206 0 0 1 0 0 0
LINC00882-251 16 17 13 4 0 1
TM4SF1-AS1-203 0 0 0 1 0 0
TAGAP-AS1-216 5 3 7 1 1 2
LINC00667-230 0 0 1 0 0 0
FGD5-AS1-208 0 16 18 0 0 0
PURPL-227 0 2 0 0 0 0
LINC00847-221 1 0 2 0 1 0
ITCH-212 0 0 0 2 0 0
LASTR-206 3 0 2 4 3 2
ENST00000665497 51 47 30 11 13 8
UBA6-DT-215 0 1 1 0 0 0
SCAMP1-AS1-203 0 0 0 4.28226 8.70592 9.2996
LNC-LBCS-224 0 1 0 0 0 0
LINC02984-222 5 1 1 1 0 0
RTCA-AS1-204 7 5 0 4 6 11
ANKRD42-DT-210 0.08719 0.13284 0.06649 0.05955 0.56239 1
KLF3-AS1-210 3 0 0 0 0 0
FAM201A-204 3 8 7 13 5 9
ANXA2R-OT1-209 38 28 22 23 7 7
SCAT1-228 7 3 2 0 0 0
LINC00910-220 1 0 0 0 0 0
LINC01252-204 0 1 0 0 0 0
ENST00000665564 0 0 0 0 1 0
LINC01612-205 1 0 0 0 0 0
SPANXA2-OT1-204 1 0 0 1 0 0
FGGY-DT-212 0.77107 0 0 0 0 0.56197
PCGF3-AS1-208 20 23 10 3 5 10
LINC01886-206 2 0 1 0 0 0
LINC01214-202 4 1 0 4 3 5.70449
UCA1-242 0 2 0 3 0 3
IQCH-AS1-208 0 0 0 0 1 0
MIR9-3HG-239 0.01243 1 0.67533 0 0 0
LINC02937-206 10 6 13.9706 0 0 0
LINC01193-226 0 2 0 0 0 0
SNHG29-245 4 3 1 0 0 9
RABGAP1L-DT-207 0 0 0 1 0 0
LNCRNA-IUR-211 0 0 0 1 0 0
ADORA1-AS2-202 0 0 0 0 0 1
MBNL1-AS1-203 1 2.99066 5 0 0 2
SNHG30-204 434 400 215.5 167.5 125 169.5
TOX-DT-205 0 0 1.5 0 19 29.5
CASC2-210 0 0 2 1 0 3
ENST00000665680 0 0 1 0 0 1
LINC01193-227 1 0 1 0 0 0
DUBR-221 0 0 0 0 1 0
ENST00000665702 67 63 52 85 40 56
NUP50-DT-204 27 20 25 1.90384 6.71519 0
MYLK-AS1-210 7.78302 3.95671 7 1 0 0
NUTM2B-AS1-219 9 1.98896 2 4 0 0
PAX8-AS1-228 0 0 2 15 3 8
LINC01409-227 0 3 0 0 0 0
PVT1-329 2 5.58899 2.00142 4.92403 11 8
SFTA1P-211 0.36132 0 0 2.53292 0 3.56839
ENST00000665729 14 16 7 8 6 4
SNHG17-266 9.55727 7.98938 13.58032 9.36109 7.37817 4.90576
PVT1-330 0 16 5 3 1 4
FGD5-AS1-209 13 22.99998 13 24 8 20
LINC00960-206 27 18 12 26 27 17
ENST00000665745 26 8 18 3 0 2
METTL14-DT-210 0 0 0 0 0 1
OLMALINC-227 0 1.0658 3.99995 0.99998 0 4
ENST00000665759 105 102 87 112 40 97
NR2F1-AS1-259 11 14 9 0 3 0
LINC00882-252 4 1 2 1 0 0
ENST00000665809 0 1 0 0 0 0
PAX8-AS1-229 0 0 0 0 0 2
GASAL1-204 4 3 1 2 0 1
ENST00000665821 0 0.94608 0 0 0 0
SPOP-224 0 0 1 0 0 0
LINC01278-225 44 35 43 38 18 23
LINC01990-204 4 1 1 0 0 0
MIR9-3HG-240 1.99419 0 0.67582 0 0 0
PVT1-331 1 7 2 2 0 0
ENST00000665858 0 1 0 0 0 0
SDCBP2-AS1-208 95 66 58 96 82 97
ENST00000665864 1 0 0 1 1 0
LINC01409-228 0 0 0 1 0 1
SLC25A5-AS1-205 2 6 7 3.5 0 1.5
LINC00662-257 1 0 2 8 3 3
LINC01801-212 1 1 0 1 3 6
ATP13A3-DT-208 1 2 1 0 0 0
LINC01836-205 1 1 0 1 0 0
TMEM161B-DT-244 0 0 2 0 0 0
KLF3-AS1-211 1 1 3 0 0 0
CUL1-214 0 1 0 0 0 0
LINC00303-205 4 4 2 0 0 5
APTR-211 3 1 1 5 0 1
LINC01504-207 2 3.60002 8 4.99635 2.32552 6.83901
SLC16A1-AS1-213 0 0 1 0 0 0
MIR210HG-205 85 104 113 10 3.52782 12
MANCR-205 14.5 14.13518 5.62457 7.35121 7.44727 9.81164
ENST00000665969 0 0 0 0 0 1
LINC00665-218 0 0 0 0.92459 0 0
LINC00963-251 6 7 5 0 0 1
LINC03146-203 7 1 3 4 0 2
SAP30-DT-207 50.5 46.5 33.5 13.5 3 4.5
FAM234A-221 0 2 0 0 0 0
SNHG11-230 0 1 0 0 0 0
NR2F1-AS1-260 9 2 4 1 1 0
ENST00000666035 0 1 1 5 2 1
LINC00963-252 11 8 2 0 2 0
ENST00000666042 29 29 28 21 17 21
OLMALINC-228 0 1e-05 0 0 0 0
ZNF606-AS1-208 6 0 0.15709 2 2 0
ENST00000666049 11 4 7 4 3 6
AP3B2-222 0 1 0 0 0 0
MIR497HG-219 23 16 9 24 26 14
LINC03002-211 8 4 2 0 0 2
PVT1-334 0 0 1 1 0 0
MIR100HG-277 3.66031 7.13101 3.65332 1 3 0
DDX19A-DT-203 1 0 1 0 1 1
ENST00000666101 11 15 17 0 0 0
STS-205 3 4 1 9 0 10
ENST00000666131 1 0 0 0 0 0
IGFL2-AS1-210 1 3 8 1 0 0
PVT1-336 1 3 2 0 0 1
OLMALINC-229 15 4 8 0 0 5
KCNAB2-242 8 8 6 4 2 5
LINC00665-219 4 11 1 5 0 5
CHKB-DT-209 2 0 0 0 0 0
KRT10-AS1-205 6 9 9 7 2 5
ENST00000666188 0 0 1 0 0 0
MIR4435-2HG-258 0 2 2 0 1 0
LINC01748-220 0 0 0 1 2 0
SLC25A5-AS1-206 0 0 0 0 0 0.5
SNHG29-246 100 105 88 57 26 43
ENST00000666221 1 4 3 0 0 0
ENST00000666251 12.17569 8.94674 10.6578 6.94522 4.7461 2.32037
HCG25-223 0 0.82183 0.75801 0 0 0
SNHG17-268 24.51937 53 62 123 40.07493 106
ARHGAP29-AS1-211 0 0 1 0 0 0
LINC00963-253 2 1e-05 0 0 0 0
STARD7-AS1-206 1 3 3 0 1 1
ENST00000666291 0 1 0 0 0 0
HCG18-265 0 1 2 0 0 0
KCNAB2-243 0 0 0 0.31349 0 0
NCK1-DT-206 13 20 18 5 4 2
LINC00910-221 0 0.66768 0 0.20035 0 0
GALNT7-DT-209 0 1.78674 0 0 2.64618 0
ENST00000666330 267 237 265 274 256 219
ENST00000666332 0 1 0 0 0 2
ENST00000666335 3 4 1 6 3 1
LINC01151-208 0 1 0 0 0 0
SCAT1-230 4 3 4 0 0 0
LINC00240-214 22 10 12 5 3 10
SNHG11-231 3 6 4 1 1 0
TOMM22-DT-207 0 0 1 1 0 0
MIR4435-2HG-259 0 1 0 0 0 0
PSMB8-AS1-207 19.39599 6.72562 7.45268 6.64436 7 10.57342
MIR4435-2HG-260 0 1 1 0 0 0
AGK-DT-205 0 0 0 1 0 0
ERVK13-1-234 6 3 4 2 0 0
LINC03124-209 5 6 5 0 0 0
ENST00000666422 0.80456 0 0.76911 0 0 0
LRRC8C-DT-211 7 4 11 43 27 24
LINC03060-215 0 0 1 1 0 0
LINC01278-228 0 0 0 0 0 1
LINC01151-209 14 8 8 0 0 0
ENST00000666448 9 3 5 0 0 1
SCAT1-231 3 3 0 0 0 0
NIHCOLE-205 0 1 0 18 7 21
PYDC2-AS1-223 5 1 1 0 0 0
LINC00665-220 43 48 51 4 2 3
MIR222HG-204 4 7.60828 3.30797 1.19096 1.65991 2
ENST00000666473 1 7 1 0 0 0
ENST00000666479 5 3 10 0 1 0
CHROMR-214 1 0 0 0 0 0
LINC00702-214 2 1 6 0 0 0
ENST00000666488 7 8 1 5 0 1.38877
JPX-261 9 9 7 23 13 21
HCP5-205 7 7 13 11 12 5
SMIM2-AS1-208 0 0 0 0 0 2
SPANXA2-OT1-206 0 0 1 0 0 0
ENST00000666503 2 5 6 0 0 0
MIR3936HG-206 7.35193 9.49343 29 12.78499 14 20
EDIL3-DT-210 60 41 65 5 2 4
NUTM2A-AS1-228 39 29 30 16 9 13
ENST00000666525 1 0 0 0 0 0
LINC02245-204 76 50 65 98 54 86
ENST00000666529 0 0 1 0 0 0
LINC00908-228 3 1 3 0 0 2
BDNF-AS-255 2.5 2 4 0.5 0.5 0
LINC02028-249 1 0 0 0 0 0
LINC00963-254 2 0 0 0 0 0
LINC01404-205 10 6 4.5 0.5 0 0
ENST00000666567 1 1 0 4 3 4
ERICH2-DT-218 0 0 0 1 0 0
FAM182B-220 2 0 0 0 0 0
LINC00882-255 0 1 0 0 0 0
TSNAX-DT-211 0 0.1141 0 13 5 6
EBLN3P-221 45.99999 26.99999 3.80962 10 7 8
TRAM2-AS1-213 0 1 1 1 0 0
H3-3A-209 0 0 1 0 0 0
ENST00000666612 0 0 13.97227 1 0 1
ENST00000666613 7 10 4 2 1 4
DUSP5-DT-203 15 7 5 3 2 3
LINC01886-207 0.9579 1.86859 4 0 0 0
PYDC2-AS1-224 0 1 0 0 0 0
LINC01060-216 33 21 26 0 0 0
NIFK-AS1-210 0 0 0 0 0.78148 0
TNS2-AS1-220 4 5 2 7 5 11
LINC01002-241 0 1.90068 0 0 0 0
ENST00000666659 41 37 46 46 25 28
NCK1-DT-207 2 0 3 0 1 0
SNHG5-264 0 4.57576 3 6 0.84517 1
ENST00000666670 28 26 20 73 34 26
LINC01473-212 1 0 0 0 0 0
ENST00000666680 1 0 2 0 0 1
ENST00000666693 2 0 0 0 0 0
MIR503HG-208 0 0 0 1 0 1
LNCATV-215 1 1 3 2.92034 7 0
ENST00000666710 0 1 1 0 0 1
OLMALINC-230 31 31 41 12 6 18
SATB2-AS1-206 0 1 4 0 0 0
LINC03011-204 678.46918 512.63962 666.48232 110.41973 59.02176 87.49728
ENST00000666727 1 0 1 1 0 1
KLRK1-AS1-205 2 1 0.94802 114 73 130
ENST00000666752 114 107 150 98 49 63
LINC00960-207 0 0 0 0 0 2
LINC01060-217 2 13 2 0 0 0
ENST00000666760 0 0 0 0 0 1
ETS2-208 0 0 1 0 0 0
LINC02987-223 9 11 8 5 5 10
NR2F1-AS1-261 64 51 58 10 5 18
TMEM161B-DT-246 1e-05 0 0.15329 0 0 0.1456
ENST00000666818 4 0 0 0 0 0
TAT-AS1-203 0 1 0 0 0 0
ENST00000666823 3 0 2 0 0 0
UCA1-243 10 5 3 26 4 29
LINC02582-208 0 0 0 24 12 27
ENST00000666834 25 17 6 25 16 19
LINC00662-263 24 20 30 1 0 0
NUTM2A-AS1-229 1 2 0 1 0 0
FAN1-225 0 0 1 0 0 0
SMIM14-DT-206 0 0.23975 0.36449 0 0 0
LINC02693-225 9.03206 16.69625 11.13108 0 4.59361 0.81
PDK4-AS1-210 34 16 13 19 7 11
MSANTD2-AS1-214 0 1 0 0 0 0
CASC15-286 0 24.42673 0 0 0 0
H2AZ1-DT-205 0 1 0 0 0 0
DHRS4-AS1-212 80 90 0 0 9 7
COQ7-DT-205 0 1 0 0 0 0
AP3B2-224 3.84297 2.92846 2 0 0 0
LINC00944-225 1 0 1 5 5 1
SOX9-AS1-228 0 1 0 0 0 0
GLIDR-212 38 56 35 123 100 80
RTCA-AS1-205 0 1 4 0 1 1
ENST00000666921 0 0 1 0 0 0
TRAM2-AS1-214 1 3 2 0 0 0
SLC38A4-AS1-209 0 0 0 2.65358 8 4.68088
LINC00667-233 4 3 2 0 0 0
ENST00000666960 0 1 0 0 0 0
ENST00000666966 1 0 0 0 0 0
ENST00000666970 0 0 3 0 0 1
UBL7-DT-210 22 29 25 11 11 25
LINC02762-206 164 143 125 0 0 0
NR2F1-AS1-262 0 3 0 0 0 0
ENST00000666996 0 1 1 0 0 0
LINC01060-218 4 1 4 0 0 0
ENST00000667004 0 0 3 0 0 0
PXN-AS1-208 8.43767 13.74549 6.79869 1.07062 0 1.77388
ILRUN-AS1-203 1.47614 100.5 0 1.52438 20.82536 122.5
LINC01511-205 1.20883 19.14807 1.16035 0 0 0
MIR9-1HG-231 3 3 4 0 0 0
ZNF594-DT-207 1 0 0 2 0 1
JPX-262 20 17 4.45419 11.99995 0 0
MSH3-206 0 1 0 0 0 0
SNHG16-211 0 0 1 1 0 0
ASB16-AS1-207 0 1 0 1 0 1
SNHG15-212 5 11 7.67642 8 0.15078 4.79785
FAM201A-205 4 2 5 0 2 2
ENST00000667155 100 98 85 108 72 100
DLG1-261 3 2 1 1 0 1
BAALC-AS1-214 0 1 0 0 0 1
MIR205HG-214 22 25 26 5 2 1
PYDC2-AS1-225 3.45786 0 0 0 0 0
ENST00000667187 0 2 0 0 0 0
SNHG17-273 47.34817 20.92579 61.81266 65.44441 7.87211 67.23418
PART1-207 3.5 3 4 0 0 0.5
LINC02987-224 1 1 1 0 0 0
RNF213-AS1-205 0 1 0 0 0 1
PVT1-345 52 57 39 11 11 14
LINC00840-219 1 0 0 0 0 0
ENST00000667248 0 0 0 0 1 1
ENST00000667253 0 4 3 2 4 2
FAM157C-220 0 0 0.3026 0 0 0
TSEN34-209 0 0 1 0 0 0
UCA1-AS1-206 4 0 1 0 0 1
LINC01825-203 0 0 0.93557 0 0 0
LINC01060-219 1 1 0 0 0 0
LINC02509-203 0 0.5 0 0 0 0
SNHG17-274 0 0 0 1.64818 28.91888 0
SNHG5-266 0 0 3.99764 1 0 0.77577
GNAS-260 0 1 0 0 0 0
JPX-263 17 15 6 7 0 1
LINC02482-207 1 3 0 0 1 0
PVT1-346 4 5 4 2 3 4
PCBP1-AS1-433 3 0 0 0 0 0
PTPRB-AS1-209 2 0 0 0 0 0
GABPB1-AS1-209 4.22726 15.95684 13.82441 6.01315 0 0
ENST00000667321 159 93 130 59 44 25
SRP14-DT-208 21 22 23 18 6 29
ZNF230-DT-204 1 0 0 0 0 0
LINC02615-208 0.8296 0 0 1.58416 0 0
MIR222HG-205 0 0 1 0 0 0
ENST00000667337 0 0 2 0 0 0
ENST00000667343 26 20 27 1 1 0
RPL26L1-AS1-204 10 8 9 3 1 1
STIM2-AS1-205 47 48 48 14 19 17
PSMA3-AS1-216 0 0 0 0 0 1
LINC03015-214 2 0 3 0 0 0
SLC9A3-AS1-211 1 0 2 0 0 3
ENST00000667381 1 3 3 0 1 0
CDC42-210 46.99655 41.7054 31.75883 39.73273 18.60437 22.63763
ENST00000667385 0 0 1 0 0 0
ENST00000667388 1 0 1 2 0 0
CABP1-DT-203 2 1 0 0 0 0
WDR5B-DT-206 10 17 10.95056 79.69623 58.85579 75
LINC01719-208 2 1.96073 3.77384 2 0 0
LINC01134-204 0 0 0 0.5 1 0
DUBR-223 0 1 3 0 0 0
SNHG17-275 0 0 0 3 1.99536 0
SCAT1-232 1 2 2 0 0 0
GIHCG-212 10 12 12 5 2 1
LINC01094-215 0 1 0 0 0 0
CBR3-AS1-225 2 1 3 1 0 1
LINC00467-225 3 0 9 0 0 0
LINC02266-207 15 5 8 0 0 0
CHUK-DT-202 3 0 1 0 1 0
LINC01164-203 1 0 0 0 0 0
LINC00963-256 0 0.60534 0 0 0 0
TMC3-AS1-217 0 1 0 0 0 0
LINC00662-265 1 0 0 0 0 0
NUTM2A-AS1-230 24 15 19 18 6 18
LINC00466-228 0 2 0 0 0 0
NCK1-DT-208 1 0 1 0 0 0
PPP1R13B-DT-206 47 48 41 0 0 1
LINC01612-206 66 27.43002 34.92068 0 0 1
LINC01203-219 0 0 3 0 0 0
SFTA1P-212 98 119 122 16 6 22
SNHG5-268 9 1 5 3 1 2
LINC01081-203 0 2 0 0 0 0
ENST00000667553 2 0.5 3.5 0 1 1
SNHG26-212 35 32 43 9 3 0
DGUOK-AS1-204 10 2 3 2 0 3
ERICH2-DT-221 0 1 0 0 0 0
LINC02328-210 0 1 0 0 0 0
JPX-264 2 4 7 2 0 0
LINC00659-207 6.97086 4 8 0 0 0
MAP4K3-DT-217 81 114 78 103 47 99
DHRS4-AS1-213 5 5 3 1 0 0
DUBR-225 2 4 1 0 0 0
DUBR-226 1 0 2 0 1 2
SNHG5-269 0 1 0 0 0 1
PURPL-230 1 0 1 0 0 0
LINC01719-209 14.84925 9.18588 0.34715 0 0 0
EGLN1-206 5 4 6 0 0 1
PVT1-349 229.85948 129.32475 113.5269 32.26895 28.0005 12.98893
DUBR-227 0 0 0 0 0.90718 0
RRAGC-DT-205 0 1 0 0 0 0
SNHG5-270 0 0 1 3 1 2
ENST00000667638 7 7 3 4 2 3
JPX-265 0 0 0 0 0 1
ENST00000667654 105 100 103 43 33.81737 42
SNHG1-247 0 0 1 0 1 0
MIR4435-2HG-264 0 0 1 0 0 0
MOCS2-DT-208 11 10 5 14 1 3
ZSCAN16-AS1-205 258 184 224.5 119.5 69 70.5
LINC00662-266 29 7 5 0 0 3
ASB16-AS1-208 2 5 3 2 0 1
SNHG5-271 0 0 0 11.79899 0 0
ODC1-DT-204 1 1 1 0 0 0
EPC1-210 1 0 1 0 0 0
PVT1-350 0 5 1 0 0 0
ENST00000667718 11 5 23 7 2 6
PXN-AS1-209 2 5 4 2 0 1
MAGI2-AS3-239 2 0 0 0 0 0
CD27-AS1-214 0 0 0.51637 0 0 0
ENST00000667751 10 14 11 0 2 0
NR2F1-AS1-264 7.55819 0 0 0 0 0
SNHG11-233 4 5 1 0 4 3
ENST00000667779 1 0 4 2 2 2
LINC01635-206 5 2 3 0 0 0
LINC02026-204 7 17 0 1 3 0
LINC01060-220 0 0 3 0 0 0
SNHG15-213 8 18 10 13 9 19
LINC01547-210 0 0 0 3 0 1
TAGAP-AS1-218 94 52 58 5 4 18
IGFL2-AS1-211 0 0 0 1 0 1
SNHG17-276 0 0 0 0 0.00464 3
ENTPD1-AS1-225 3 3 5 0 3.88817 0
ENST00000667844 0 0 0 0 0 1
TMC3-AS1-218 0 1 0 0 0 1
RPAP3-DT-210 0 1 0 0 0 0
LINC00910-222 3 5 2 4 3 0
KMT2E-220 3 4 4 0 0 0
MIR497HG-220 0 0 0.88099 1 0 0
ST3GAL6-AS1-215 3 3 0 0 0 0
LINC00882-259 0 2 1 0 0 0
ENST00000667880 2 0 0 0 0 0
JPX-266 2 1 0 0 0 0
MAGI2-AS3-241 0 1 0 0 0 0
ZFAS1-214 32 50 28 59 82 38
TMEM147-AS1-209 0 1 1 0 0 0
LINC01610-202 0 0 0 1 2 0
LINC00881-218 7.04703 5 5.33236 0 1 1
SNHG17-277 0 1 0 1 0 0
ENST00000667915 2 0 1 0 0 0
LINC02098-204 1 0 0 0 0 0
PARTICL-201 86 95 75 55 55 59
SMIM14-DT-207 32.46514 22.45736 15.21054 13.75933 13.67875 19.50533
AMPD2-231 2 3 1 0 1 1
A2M-AS1-203 0 0 0 0 1 1
ENST00000667953 1 0 0 0 0 0
GLIDR-213 205 208 174 141 112 128
LINC00659-208 1 0 0 0 0 0
SNHG29-247 1903 2323 2085 2078 976 1751
NUTM2A-AS1-231 3 4 0 3 0 0
ENST00000668003 84 73 86 44 26 36
SLC9A3-AS1-213 1.93989 7.44049 4.44778 8 7.48005 0.41102
NIFK-AS1-212 13 12 11 2 5.84444 4
LINC01564-203 2 0 0 0 0 0
DNAJC27-AS1-211 4 11 11 5 5 5
LINC01546-204 2 4 4 0 0 0
TMEM161B-DT-250 19 18 15 9 6 4
LINC01515-239 0 1 0 0 0 0
LITATS1-202 1 0 0 0 0 0
ENST00000668046 140 111 151 49 35 37
SNHG1-248 0 1 0 1 0 2
SNHG17-279 0 1.80956 0 0 0 2.32068
ENST00000668057 0 0 0 0 0 1
ENST00000668060 1 1 3 0 0 0
LINC01511-206 2 2 4 0 0 0
LINC00662-267 1 3 0 0 0 0
LINC00839-207 0 0 0 0.11894 0.77735 0.68821
GIHCG-213 2 0 1 0 4 0
LINC00963-257 0.31093 0.79964 4 0 0 0
LINC01748-221 4 6 5 3 3.9336 10
ENST00000668079 5 0 1 5 4 3
PVT1-351 0 6 2 1 0 0
OLMALINC-232 2 2 1 0 0 2
PURPL-231 9 6 10 0 0 0
LINC01822-209 2 0 0 0 0 0
ENST00000668110 0 0 0 0 0 1
ENST00000668134 1.89906 68 2.07972 34 8 25
CHROMR-215 1 0 0 0 0 0
LINC00960-208 1 5 2 5 0 3
TSNAX-DT-213 7 7 6 8 7 4
RNPC3-DT-204 0 0 1 0 0 0
LINC00342-213 2 0 1 0 0 1.74451
LINC02987-226 1 1 1 0 0 1
PRMT5-DT-203 1 0 0 0 0 0
DLGAP1-AS6-203 18 19 20 2 0 0
LINC00963-258 2 1 1 0 0 0
GRASLND-222 0 0 0.92891 0 0 0
FTX-267 0.6597 0.79527 0 0 0 0
ENST00000668239 476 412 472 220 102 174
TICAM2-AS1-204 6 1 2 0 0 0
NRAV-202 509.60306 328.83276 441.55661 95.5 106 178.54525
TPT1-AS1-247 0 0 0 2 0 1
CCDC18-AS1-230 15 11 13 6 4 14
SLC12A2-DT-229 13 9 9 5 1 1
LINC02542-209 0 0 0 1 0 1
ENST00000668271 8 4 3 0 0 0
LINC01605-210 0 0 2 0 0 0
LYPLAL1-DT-208 1 0 3 1 0 0
LINC00240-215 0 0 1 0 0 0
ENST00000668298 0 3 2 0 0.44268 0.4792
DLEU2-217 3 2 1 0 0 0
SRP14-DT-209 51 52 52 37 20 26
ENST00000668307 0 1 0 0 0 0
FIRRE-217 0.79736 0 0 0 0 2
LINC00911-206 5 1 3 0 0 0
GABPB1-AS1-210 36 23 16 5 3 7
TNKS2-DT-204 27 19 27 1 5 7
ENST00000668347 1 0 0 0 0 0
PVT1-354 0 0 0 0.7207 0 0
SNHG7-207 1 0 2 1 0 0
MIR3936HG-207 0 1 3 0 0 0
LINC00908-229 0 0 0.5 0 0 0
TNS2-AS1-222 2 0 1 5 0 1.62052
ENST00000668387 0.87351 0 0 0 0 0
ZNF606-AS1-209 0.26802 0.15899 0 0 0 0.70493
ERVK13-1-237 0 1 1 0 0 0
LINC02987-227 0 2 2 0 0 1
ENST00000668417 0 1 0 0 0 0
ENST00000668426 2 0 0 0 0 0
LINC01518-203 0 0 0.77029 0 0 0
ENST00000668450 0 0 0 1 0 1
LINC00882-261 0 0 1 0 0 0
ENST00000668465 1 2 0 0 1 0
PVT1-355 0 0 1 0 0 0
PVT1-356 1 0 0 0 0 3
ENST00000668487 115 112 92 127 71 87
LINC01446-228 0 0 0 0 0 2.62226
ENST00000668490 0 0 2 0 0 0.90543
LINC02994-205 0 0 0 1 0 1
LINC02603-207 0 0 0 0 0 1
SNHG5-273 0 13 0 5 0 0
SNHG5-274 4 5 2 0 0 1
LINC00662-268 11 13 7 0 1 0
MIR193BHG-219 0 12 16 0 0 0
ENST00000668519 3 3 1 2 1 1
MIR9-3HG-244 20 23 24 0 0 0
