R1_H1975 R2_H1975 R3_H1975 R1_HCC827 R2_HCC827 R3_HCC827
NOL4L-201 2 0 2 0 0 0
PDRG1-201 886 769.58086 331.66897 527.38417 367.8722 329.78354
RPL6-201 25400 22129 19387 23221 12148 21730
SLC8B1-201 0 0 4 0 0 3
TMEM230-201 4409 4370 4405 2049 737 1852
OAS1-201 195 198.65926 216.77688 81 26 101.26339
SIRT4-201 25 16 19 31 20 29
TRMT6-201 74 128 85 39 15 62
HAUS5-201 16 21 7 11 11 31
UQCRC1-201 5807 6160 5343 5131 4283 6636
GMIP-201 2 5 5 1 2 7
MLF2-201 1752 2134 1699 1725 1439 2591
OTUB2-201 164 207 164 350 239 319
TFAP4-201 24 49 26 21 18 21
PDCD7-201 12 10 10 10 3 8
SPG21-201 439 621 402 428 224 498
FLT3LG-201 1 4 0 3 1 0
GNPTG-201 1208 1359 1046 571 315 585
EFNB1-201 9 8 4 3 2 6
GLG1-201 29 43 26 8 2 14
NAT14-201 81 130 86 60 67 76
AASDH-201 0 5 3 3 0 3
DLD-201 1264.68195 1469.69015 1316.5785 308.55498 133.89724 376.9257
CMTM6-201 1004 1241 925 230 118 205
APOH-201 0 0 0 9 6 18
SPAG7-201 3e-05 157.42643 3e-05 9e-05 6e-05 273.25259
RGS17-201 243 195 153 219 88 201
TMEM101-201 0 0 0 1633.53598 953.7809 1567.2005
CCDC80-201 1 2 4 1 0 1
PSME1-201 6119.27188 4833.84804 379.78282 8564.52757 5253.54408 8875.87294
HAUS4-201 131 119 116 161 89 186
OSGEP-201 662 674 623 729 481 720
G2E3-201 45 49 41 25 5 33
TGM1-201 0 0 0 0 1 0
UNC13D-201 7.78381 15.71023 5.87734 6.85371 5.98384 22.06365
XYLB-201 35 34 34 20 10 28
CDC6-201 1e-05 1e-05 1e-05 0 5.9157 0
AAAS-201 367.99724 179.20037 221.55955 553.38217 165.62352 226.69473
CBX5-201 560 531 467 551 264 364
KLHL20-201 43 46 45 12 6 11
DHPS-201 1859 1967 1742 1552 1020 1922
RAB26-201 5 5 3 18 24 32
PTBP3-201 2 2 1 1 0 0
