"","gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"8783","PDP1",700.170786701325,-2.19988086650753,0.170196545352848,6.57117835019803e-39,2.8533742805163e-37
"8784","TMEM67",54.6396827428527,-1.03557389580704,0.320992317970802,0.000670288683111135,0.00148198423515604
"8785","WASHC5",425.917919085433,-1.14699084709769,0.177259049569225,4.3409271365203e-11,2.60628256067555e-10
"8786","RPP25L",4843.94284898554,1.54271879034564,0.150921684260338,5.31476840043994e-25,1.03793989448194e-23
"8787","FAM219A",75.0185859964123,-1.12705501878666,0.277967925683055,2.50152763672154e-05,7.02664542856884e-05
"8788","SPMIP6",21.9640209448875,-0.543613118053365,0.457471043103356,0.183187393474084,0.241368083493277
"8789","SNAPC3",138.942683127631,0.732031676114184,0.248714477552027,0.00237408211624033,0.00476159747081424
"8790","MYORG",66.6848846222329,0.543806790819826,0.317886298315182,0.0712742577033034,0.104693571010375
"8791","NUDT2",783.323570828758,-0.189769541012636,0.1723069503619,0.263035910840187,0.331169787802961
"8792","TMEM65",99.340570622362,-1.42337708936323,0.26563185905545,3.04957044581611e-08,1.2808456909915e-07
"8793","PSIP1",313.963837017245,0.636078683220291,0.218652230506334,0.00286865685484987,0.00565576374587026
"8794","CCDC171",38.7418361534544,-0.221483070814199,0.334229745993936,0.48194905807969,0.555313735055188
"8795","UBAP1",1515.46613860312,0.771452981372778,0.160859464921573,1.16802050017671e-06,3.95049773513154e-06
"8796","SYK",199.330534687412,2.69648809375136,0.231059773549194,2.62764587129327e-32,7.88575007887967e-31
"8797","NIPSNAP3B",21.6902099024911,-0.266598153756683,0.415242492984682,0.480561905698074,0.553747931846186
"8798","ABCA1",712.89340012399,-2.19671229756761,0.209339967515616,1.85676299657872e-26,3.97412075614509e-25
"8799","NFIL3",147.037050697645,0.0420779996470705,0.261557318029967,0.869486409564682,0.897990410467587
"8800","LETM2",527.926841006154,-1.6278061900599,0.158033416753718,2.08681619940563e-25,4.17086981117456e-24
"8801","METTL2B",1069.02359371117,-0.266476442703657,0.153710503970477,0.0787787946253777,0.114524213177712
"8802","FXN",737.595957989763,0.292166750088016,0.176702782347139,0.093202529493411,0.132942299881336
"8803","MAMDC2",36.7773963919372,-5.32656970110279,0.778558602250148,6.59017370280978e-12,4.32015161205904e-11
"8804","TMC1",60.1570616462592,1.93429114743041,0.308650864417067,8.47231396644449e-11,4.9226200775431e-10
"8805","KDM1B",66.0117930276526,-0.45568189232996,0.284733440211753,0.0947194404665465,0.134880538201909
"8806","HGSNAT",136.306153465331,-0.482606224750452,0.218042077080148,0.0231969473127565,0.0381887673970368
"8807","RASEF",661.295120057707,0.510614255580773,0.222454777860198,0.0185998523783787,0.031281859694125
"8808","GKAP1",59.1264203711652,-0.0309962317027894,0.282675005809435,0.907776286364221,0.928206573194611
"8809","KIF27",42.6359016330432,-0.964565900005933,0.387554971898162,0.0069790217703479,0.0127646314683271
"8810","QNG1",316.350306277403,-1.24235815464842,0.178691421002356,1.58471311229339e-12,1.10608692229667e-11
"8811","HNRNPK",25464.1465380867,0.0794813367796424,0.156110692630144,0.608176594006114,0.675304481249039
"8812","ANKS6",210.72530575507,0.903714566909502,0.244308883570136,0.00013441871304545,0.000333321046234119
"8813","FBP1",304.999361259479,1.10331030406159,0.216568432181762,1.78962929259977e-07,6.79532871461707e-07
"8814","ZHX1",418.294452550871,-2.44570642319647,0.19788927486588,6.48305728436987e-36,2.35635120963569e-34
"8815","DYNLT3",1006.38976763952,-1.86491659891871,0.159808848976935,4.58821282313977e-32,1.3521449411376e-30
"8816","METTL27",1110.70776143399,3.96468279012912,0.185461359637016,1.97028696082426e-102,5.85921548183301e-100
"8817","MID1IP1",1298.8367305275,-0.634558673178023,0.17283166272641,0.000189347624839086,0.000459770609021
"8818","SHOC1",203.674821873791,-2.08738456737127,0.206889082161274,1.31807303356755e-24,2.49467882640602e-23
"8819","KIAA1958",39.2321582741399,1.2333097408314,0.41508943265052,0.001245702442827,0.00262079556708817
"8820","RNF183",63.622567566049,10.6824532622862,2.92351086963074,1.27557534445707e-15,1.21887620670199e-14
"8821","PIGA",59.8027050628847,-1.54111214921464,0.317329102559957,3.83056976700323e-07,1.38892652534588e-06
"8822","STRBP",292.363703698224,0.200715548598922,0.19512939932793,0.29530039048577,0.366108316850749
"8823","CLDN3",1692.12115626038,3.32683965404632,0.187776044355144,3.42255540641079e-71,4.69751713018353e-69
"8824","GAPVD1",305.990177455541,-0.0471196755457297,0.209333470710858,0.81670021910395,0.85471767091571
"8825","CARD19",998.581927536021,-0.175361002387909,0.146618265819332,0.22587356752118,0.289620468396041
"8826","WNK2",269.5206093154,0.78413690004656,0.184786319361033,1.56768790052363e-05,4.55230217836623e-05
"8827","ATP7A",87.8971345499501,-0.267403513554595,0.304327358748638,0.355734579256809,0.428422567777714
"8828","ZNF367",14.7650502848627,0.422939001655339,0.532503436743981,0.354216006781817,0.426960484253929
"8829","HDX",42.0432064335859,-0.999616309690309,0.358168928355325,0.002827144619476,0.00558120774959318
"8830","NDUFB6",9718.94348913266,-0.240991289172601,0.183722637389221,0.181166650047434,0.239106841535941
"8831","AQP7",21.6820609529631,2.7701440493521,0.586042332695031,3.2843398020128e-07,1.20040479132412e-06
"8832","NOL6",461.353990039386,1.3205452700275,0.224318801421946,1.59800246412586e-09,7.95838476615028e-09
"8833","AQP3",1093.3340298917,0.99747427924328,0.222666388505756,4.28430003755924e-06,1.34391996271013e-05
