"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","exp"
"5023","TIMP2-204",89.1216621339381,2.42955343612685,0.687297552339359,5.07572430479743e-05,0.000226294952224789,"Upregulated"
"5024","KRT18P10-201",13.0489400269941,2.8446355861902,0.809707859229933,5.08129369972061e-05,0.000226493811925843,"Upregulated"
"5025","MRPS18A-203",29.4443830497228,1.51754848437053,0.401857654261477,5.08549598020882e-05,0.000226636013892132,"Upregulated"
"5026","MFAP1-201",222.492860060599,-0.827533209579715,0.208862971839809,5.09135069830619e-05,0.000226851785789632,"Downregulated"
"5027","PLAAT3-210",9.81518766966609,3.68957183423637,1.04809465362678,5.09948482991539e-05,0.000227169013887259,"Upregulated"
"5028","ENST00000732663",9.81306237117406,3.40896338947125,0.966025855347663,5.10197189403601e-05,0.000227234603410983,"Upregulated"
"5029","ESRRA-202",6.59614028239032,-5.91162639687992,2.64179888326721,5.12155295155383e-05,0.000228016017489257,"Downregulated"
"5030","PPIE-221",34.2385558743757,1.55460012549596,0.413281402054883,5.12092962161826e-05,0.000228016017489257,"Upregulated"
"5031","RHEBL1-201",52.7321593078778,-1.33294901843286,0.349941952704932,5.14498787022722e-05,0.00022896831948702,"Downregulated"
"5032","RTL8C-201",1711.27772298854,1.05920911923309,0.271707254556326,5.14458016673306e-05,0.00022896831948702,"Upregulated"
"5033","GGPS1-201",423.350711987963,-0.865363707953293,0.219439282488654,5.16293956523597e-05,0.000229721574853754,"Downregulated"
"5034","CSNK1D-222",27.4154713450812,3.43901914321304,1.01910350086964,5.16416529036667e-05,0.000229730467843606,"Upregulated"
"5035","PROS1-202",52.0010500150419,-1.60999686807251,0.428403552145376,5.18202707970172e-05,0.000230479273928183,"Downregulated"
"5036","CCDC50-202",66.4642426336706,-1.4861475536873,0.392582505229125,5.1992685558686e-05,0.000231200198649963,"Downregulated"
"5037","TMEM187-204",33.7786301498708,1.52508251139484,0.404837154773809,5.20371608766782e-05,0.000231352031104295,"Upregulated"
"5038","GIRGL-208",17.7403639825258,2.05615604035338,0.56579673507761,5.20919269412144e-05,0.000231549545835958,"Upregulated"
"5039","MUTYH-209",7.40529834517782,4.98584937283302,1.49893031144959,5.22032332590746e-05,0.00023199825473382,"Upregulated"
"5040","MAPRE3-201",66.9559595920777,-1.39789731001547,0.366902672760983,5.22667507910588e-05,0.000232188378737348,"Downregulated"
"5041","ENST00000842660",182.538040890801,-0.840725605916137,0.213192868968933,5.22658524227228e-05,0.000232188378737348,"Downregulated"
"5042","PRKRA-225",50.6049399549602,-1.57843725641609,0.42120454424379,5.23134564267603e-05,0.000232349770571375,"Downregulated"
"5043","ERCC1-238",9.65754098320094,3.14216242019401,0.88988430620709,5.24393618838931e-05,0.000232862793977375,"Upregulated"
"5044","TUBB4B-203",48.4743771132398,1.335043243975,0.350109057165629,5.24625915947081e-05,0.000232919761334634,"Upregulated"
"5045","ARHGAP1-201",98.1234189028973,-1.1502459356015,0.296908330354311,5.24947185383773e-05,0.000233016199593344,"Downregulated"
"5046","LINC02321-202",25.7538098912661,-2.07699023068645,0.566100159997899,5.27628149492119e-05,0.000234148085634023,"Downregulated"
"5047","RPL17-224",60.7863004622514,1.23204425118093,0.320472398303827,5.27706255333979e-05,0.000234148085634023,"Upregulated"
"5048","ZNF691-201",25.2590080889174,2.11314368367858,0.58665541682325,5.27991647028142e-05,0.000234228307122587,"Upregulated"
"5049","MRPL45-203",1031.07773573792,0.835458260196574,0.211507645087605,5.28214387624888e-05,0.000234280708981417,"Upregulated"
"5050","SECTM1-201",35.6796439878059,1.52016591704442,0.404661369657283,5.28731633145948e-05,0.000234448273022057,"Upregulated"
"5051","STK32A-209",215.412785337176,0.831280789041119,0.21054873459981,5.28801566059841e-05,0.000234448273022057,"Upregulated"
"5052","OCEL1-211",29.5063161347583,2.09525957405088,0.581707032693663,5.29681820249961e-05,0.000234702431354896,"Upregulated"
"5053","CCDC90B-215",107.897058919859,-1.0027798549484,0.256299714150641,5.29689241791392e-05,0.000234702431354896,"Downregulated"
"5054","ARMT1-201",246.656230141907,0.994970361116348,0.254394393879768,5.29598911665023e-05,0.000234702431354896,"Upregulated"
"5055","ENST00000763976",18.8992530401025,1.94325326993008,0.53087641377881,5.33267175189412e-05,0.000236241050864326,"Upregulated"
"5056","BAG3-201",195.284340796297,-1.00612248733097,0.257804692341783,5.34862875536063e-05,0.000236854246287415,"Downregulated"
"5057","SCCPDH-201",418.432521897896,-0.747840038406427,0.188632549454755,5.34797576861976e-05,0.000236854246287415,"Downregulated"
"5058","UBB-201",30311.2793193456,0.723248276377313,0.182101956169374,5.358412396823e-05,0.00023724058365847,"Upregulated"
"5059","TMEM230-201",2575.96152981743,-0.860980194297626,0.218792947732296,5.35964611389063e-05,0.000237248300206497,"Downregulated"
"5060","RNF167-223",19.6320724608574,2.33681203818977,0.655584474206722,5.37587858564323e-05,0.000237872801910481,"Upregulated"
"5061","CLIC1-212",15.7558332840437,2.09690091806392,0.577808708492172,5.3755513436185e-05,0.000237872801910481,"Upregulated"
"5062","ADAM15-201",68.991235871787,-1.64583760098331,0.442791005893233,5.37930799616852e-05,0.000237977525219672,"Downregulated"
