R1_H1975 R2_H1975 R3_H1975 R1_HCC827 R2_HCC827 R3_HCC827
BOD1L1 476.00001 308 381 299 399.00001 105
MAT2B 1957.99999 1795.00001 1791.99997 1227.99999 655 1094.00002
TLL1 1 0 0 90 57.99999 42
EDC4 475 393 387.00001 556 668 426
TRIO 649 501 632 689 642 367
VCAN 3153.99999 3042.00001 3352 327 361 238
CLEC16A 248 196 201 189.00001 207 133
MSR1 1 0 1 0 0 0
CDH1 4022.00001 2571 3591.99999 5840 4270 3418.00001
MTREX 589.99999 492.00001 508.99999 743.00001 882.99999 398
DNAH5 103 128 121 351.99999 303 287
ZFYVE16 239.99998 214 226.99999 111.99999 127 88.99999
RIPOR1 553.99999 507.99999 424 446 593 271
RAI14 526.00001 505 586.00001 214 248 158
SOX30 15 26 19 1 0 4
PNKP 496.99999 524.99999 482.99999 1110 1492.00001 1263.00002
BEST2 3 2 0 0 0 0
PHLPP2 90 72 75 49 39.99999 29
